date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2020-12-07,137.0,138.86000061035156,136.8000030517578,138.75,4590800,134.96473693847656,0.0,0.0,1.1371073189243577,1.137085557498363,125.70747848510742,101.25195796966553,130.7915891677564,0.0763578351385863,60.04857772435897,57.52697870382904,135.90454953473733,121.91873308855368,22443.749402173915,6.622580645161291,262.15403225806455,111.01000213623048,"8,348.61",1438.83,698.44,134.13,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-08,138.24000549316406,140.44000244140625,137.64999389648438,139.1199951171875,6953600,135.3246612548828,0.0,0.0,0.2666631475225278,0.2666802637272036,126.00025939941406,101.48101848602296,131.39599877937326,0.0748072191880511,51.328863620525446,56.27303257254399,136.73627780876515,122.10144573249462,22450.00682608696,6.609677419354838,262.17387096774195,111.37000274658205,"8,247.32",1428.3,683.66,133.58,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-09,140.57000732421875,140.57000732421875,138.27000427246094,138.7899932861328,4341300,135.00364685058594,0.0,0.0,-0.2372066148914942,-0.2372179625798165,126.24720687866213,101.7128099822998,131.8770185222016,0.0747623275091738,47.684654038984434,53.02069846128969,137.2224774918579,122.71795982503666,22456.26425,6.596774193548387,262.1937096774193,110.68000030517578,"8,264.62",1430.63,686.84,133.48,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-10,138.27999877929688,139.13999938964844,137.24000549316406,137.5800018310547,4511000,133.82669067382812,0.0,0.0,-0.8718146218103628,-0.871795839752687,126.48634185791016,101.95533756256104,132.13697480908513,0.0564990057086295,22.1326351177534,40.382050925754505,137.32145312567854,123.60885540703627,22462.521673913045,6.583870967741936,262.2135483870968,110.77999877929688,"8,225.94",1437.96,686.42,132.55,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-11,137.38999938964844,138.13999938964844,136.22999572753906,137.41000366210938,4172400,133.6613006591797,0.0,0.0,-0.1235631390338776,-0.1235852234077405,126.7008120727539,102.19184490203855,132.3402182557644,0.0566951140081037,12.326111877062258,27.381133677933445,137.0030210618396,124.999638545094,22468.77909782609,6.570967741935484,262.2333870967742,110.47000122070312,"8,272.33",1439.17,688.41,131.45,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-14,138.9199981689453,139.0,136.1999969482422,136.27999877929688,7599000,132.56211853027344,0.0,0.0,-0.8223599830410988,-0.8223637832980746,126.89329864501951,102.40691387176514,132.36980495903228,0.0513083978111121,-1.6228912676405434,10.94528524239178,136.6026667857824,126.20322158091685,22487.55136956522,6.532258064516129,262.29290322580647,109.66999816894533,"8,328.05",1452.16,698.94,133.66,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-15,137.42999267578125,139.44000244140625,137.25,139.38999938964844,7637000,135.58731079101562,0.0,0.0,2.2820668023252333,2.282094081086461,127.12163162231444,102.64556316375732,132.79880573663007,0.052496421947796,36.76784967391136,15.823690094444435,136.80136167942334,126.93262422145555,22493.808793478263,6.519354838709678,262.31274193548387,110.86000061035156,"8,326.62",1461.5,704.16,133.76,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-16,139.07000732421875,140.49000549316406,137.4600067138672,138.33999633789062,6573400,134.56594848632812,0.0,0.0,-0.7532843506388498,-0.7532875301743736,127.33458526611328,102.86528881072998,133.0344247699231,0.0518947956985754,23.80640713832045,19.6504551815305,136.95953213368907,127.39655307138902,22500.066217391304,6.506451612903226,262.3325806451613,111.12000274658205,"8,460.56",1467.95,708.15,134.56,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-17,139.9199981689453,140.74000549316406,138.75,140.5,8727000,136.66702270507812,0.0,0.0,1.5613732248724643,1.5613713888127378,127.54276947021484,103.1110274887085,133.51877116127713,0.0498800890424078,49.40395970164814,36.659405504626726,137.33455431984322,127.91003949119192,22506.32364130435,6.493548387096774,262.3524193548388,111.9800033569336,"8,545.47",1458.87,706.47,133.32,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-18,141.08999633789062,141.13999938964844,137.1699981689453,137.27999877929688,17970800,133.5348663330078,0.0,0.0,-2.2918158154470625,-2.291815765116489,127.69510635375975,103.35183029174804,133.52091718417455,0.0539222050798147,-17.54453820356683,18.555276212134,137.09996613510282,128.69274321548312,22512.5810652174,6.480645161290322,262.37225806451613,111.63999938964844,"8,415.63",1455.28,708.14,133.9,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-21,144.82000732421875,147.9499969482422,142.50999450683594,144.02000427246094,16111300,140.09097290039062,0.0,0.0,4.909677704761539,4.9096589882624775,127.9539077758789,103.64594562530516,134.39692461300336,0.0709000334455378,40.82059660951514,24.226672702532227,138.37051832948927,128.5220445367217,22531.353336956523,6.441935483870967,262.4317741935484,110.87999725341795,"8,373.43",1451.47,715.08,133.13,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-22,143.0500030517578,143.47000122070312,141.08999633789062,142.4499969482422,6339400,138.5637969970703,0.0,0.0,-1.0901314245544411,-1.0901315564466718,128.21167694091798,103.91218299865724,134.95250759754563,0.0723543573891506,27.51967441624808,16.93191094073221,139.04285412731824,128.6852067857677,22537.610760869567,6.429032258064516,262.4516129032258,110.8000030517578,"8,417.65",1452.49,709.21,134.26,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-23,142.55999755859375,143.60000610351562,141.6999969482422,141.75999450683594,3388300,137.89263916015625,0.0,0.0,-0.4843822086264771,-0.4843673827213735,128.4610710144043,104.19583801269532,135.34452513922704,0.0716147315653251,18.29927065204996,28.879847225937805,139.48136866483614,128.95974309053494,22543.86818478261,6.416129032258064,262.4714516129032,111.12999725341795,"8,467.83",1451.37,712.4,134.77,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-24,141.10000610351562,142.19000244140625,141.10000610351562,141.60000610351562,1821900,137.73704528808594,0.0,0.0,-0.1128586410269583,-0.1128369672362294,128.73725234985352,104.52605934143068,135.66352782574157,0.0716613576764429,13.08126246675532,19.633402511684533,139.8585875413736,129.1984681226889,22550.125608695653,6.403225806451613,262.49129032258065,111.44000244140624,"8,484.28",1472.87,717.86,135.76,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
2020-12-28,142.5399932861328,142.9199981689453,141.0399932861328,142.42999267578125,4081500,138.54434204101562,0.0,0.0,0.5861486839618291,0.5861144699606191,129.00356323242187,104.85365036010742,136.0476363877781,0.0706738567543314,19.9518731299867,17.110802082930736,140.171513244607,129.7074464111547,22575.155304347827,6.351612903225806,262.5706451612903,112.0999984741211,"8,455.78",1476.87,713.56,135.26,11243,0.0888,6396,4847,3267,3267,1580,70,54,1456,205,1251,0.122,1573,1610.0,0.0095,0.8,0.78,0.1143,2305,1.47,-,,0.4311,0.1405,0.11130000000000001,0.205,0.1408,1773,0.1577,247,1526,0.13570000000000002
