date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-08-27,17.78571319580078,17.946786880493164,17.367856979370117,17.449642181396484,424188800,15.20915412902832,0.0,0.0,-2.8590243810243,-2.859045376005953,14.990152311325073,14.990152311325073,15.274956316158182,0.0,-46.25346284391806,-33.29074675964316,16.30929296052932,13.671011662120826,17101.40666304348,7.2,233.5298064516129,62.04999923706055,"4,263.43",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-08-28,17.35714340209961,17.707143783569336,17.35714340209961,17.532142639160156,307608000,15.281064987182615,0.0,0.0,0.4727916876807292,0.4728130015925647,15.004005295889716,15.004005295889716,15.275770805628106,0.0,-42.90264753692589,-38.18374410490725,16.292118296605988,13.816867127435758,17103.99558695652,7.2,233.5326451612904,63.58000183105469,"4,290.96",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-08-29,17.558929443359375,17.73214340209961,17.54035758972168,17.560714721679688,239657600,15.305963516235352,0.0,0.0,0.16296971287304,0.1629371321542061,15.017730669541791,15.017730669541791,15.279796500375738,0.0,-49.13855016084387,-46.098220180562606,16.274462981050767,13.952859502011972,17106.584510869565,7.2,233.5354838709677,62.29999923706055,"4,281.76",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-08-30,17.571428298950195,17.605356216430664,17.375,17.400714874267578,272297200,15.166512489318848,0.0,0.0,-0.911123777978018,-0.911089502915552,15.024199444314709,15.024199444314709,15.264691965568153,0.0,-94.96081942571004,-62.3340057078266,16.25321731918026,14.06037540085148,17109.17343478261,7.2,233.5383225806452,62.95000076293945,"4,290.52",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-09-03,17.610713958740234,17.878570556640625,17.405357360839844,17.44928550720215,331928800,15.20884132385254,0.0,0.0,0.2791301006052293,0.279094053847273,15.031892855962118,15.031892855962118,15.257245213339404,0.0,-216.8440122521509,-120.31446061290164,16.24570468544528,14.137022460703404,17119.52913043478,7.2,233.5523333333333,62.95000076293945,"4,326.26",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-09-04,17.841428756713867,17.937143325805664,17.724285125732422,17.81035614013672,345032800,15.523545265197754,0.0,0.0,2.069257407620162,2.069217073437768,15.051558952331543,15.051558952331543,15.292751886920518,0.0,-185.0786166851809,-165.62781612101398,16.24077341312879,14.255546548419064,17122.118054347826,7.2,233.5565,62.95000076293945,"4,326.74",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-09-05,17.866071701049805,17.88142967224121,17.6299991607666,17.688213348388672,236367600,15.417094230651855,0.0,0.0,-0.685796459020771,-0.685739196345514,15.06561800149771,15.06561800149771,15.309330866084697,0.0,-195.8235066487749,-199.2487118620356,16.206147022205226,14.39395578388608,17124.70697826087,7.2,233.5606666666667,64.01000213623047,"4,326.52",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-09-06,17.801429748535156,17.834999084472656,17.498214721679688,17.79357147216797,359525600,15.508923530578612,0.0,0.0,0.5956402814922823,0.5956329938243909,15.082036724797002,15.082036724797002,15.335943221350552,0.0,-186.554496466244,-189.15220660006665,16.1493587929963,14.566573480868447,17127.29590217391,7.2,233.56483333333333,64.33000183105469,"4,369.61",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-09-09,18.03571319580078,18.13999938964844,17.981428146362305,18.07749938964844,340687200,15.756397247314451,0.0,0.0,1.5956769439152696,1.5956859690996694,15.106121029172623,15.106121029172623,15.39200375814574,0.0,-182.4211031967361,-188.26636877058505,16.007165827557635,14.869763741686748,17135.062673913042,7.2,233.5773333333333,63.97999954223633,"4,378.42",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-09-10,18.07857131958008,18.123214721679688,17.48214340209961,17.665714263916016,743195600,15.397490501403809,0.0,0.0,-2.277887648378063,-2.27784778637653,15.11616825235301,15.11616825235301,15.39273532391348,0.0,-226.7365134010836,-198.5707043546879,15.867398278818614,15.094450838460435,17137.651597826087,7.2,233.5815,63.97999954223633,"4,402.92",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-09-11,16.67892837524414,16.917499542236328,16.600357055664062,16.703929901123047,898696400,14.559191703796388,0.0,0.0,-5.444355933897949,-5.444385872691349,15.097602367401125,15.097602367401125,15.281596174564536,0.0,-125.91448025612154,-178.35736561798038,16.00465986369284,14.889142397659702,17140.24052173913,7.2,233.58566666666667,63.97999954223633,"4,385.52",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-09-12,16.73214340209961,16.97857093811035,16.643213272094727,16.881786346435547,404051200,14.714213371276855,0.0,0.0,1.0647580920496005,1.064768365128721,15.085234980429371,15.085234980429371,15.205945134126178,0.1004677583439603,-116.3515741096988,-156.33418925563464,16.051914372576704,14.761544642315874,17142.829445652173,7.2,233.58983333333333,64.9000015258789,"4,415.67",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-09-13,16.762142181396484,16.851070404052734,16.5964298248291,16.60357093811035,298835600,14.471717834472656,0.0,0.0,-1.648021143117584,-1.6480360226226345,15.066062569618223,15.066062569618223,15.108048160839044,0.1017966101012693,-130.75150709885818,-124.33918715489284,16.121770186100978,14.588932710017188,17145.418369565217,7.2,233.594,64.55000305175781,"4,448.16",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-09-16,16.46428680419922,16.48607063293457,15.972143173217772,16.075714111328125,543706800,14.011631965637209,0.0,0.0,-3.1791765081728984,-3.179207016733643,15.034110127073346,15.034110127073346,14.961859334812132,0.1061122927880827,-90.43548150109848,-112.51285423655185,16.234835758387415,14.313344154179724,17153.185141304348,7.2,233.6065,64.80000305175781,"4,465.19",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
2013-09-17,15.998571395874023,16.418214797973633,15.98214340209961,16.261428833007812,399380800,14.173504829406738,0.0,0.0,1.1552502140406815,1.1552748756641362,15.00879820655374,15.00879820655374,14.85674540075808,0.1056554620094477,-82.96852578038873,-101.38517146011512,16.23682585100755,14.148177811101828,17155.774065217392,7.2,233.61066666666667,65.02999877929688,"4,524.54",555.44,163.58,76.01,57594,0.0565,35748,21846,3053,1330,4383,17463,84,-330,17709,4637,13072,-0.0005,25090,25241,-0.0483,0.52,0.52,0.0487,20626,0.82,0.109,0.1474,0.37929999999999997,0.3032,0.22699999999999998,0.35810000000000003,0.2618,19937,0.34619999999999995,2144,17793,0.3089
