date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2014-01-10,89.26000213623047,89.55999755859375,88.0999984741211,88.55000305175781,2901600,76.74198913574219,0.0,-0.371280616401537,-0.3712581623458888,73.59452011108398,68.95609139559562,76.67034507247209,0.0468184376702377,-209.0089349429604,-153.7741601757839,79.93203954250235,71.93535242527109,17229.815000000002,6.629032258064516,235.3631935483871,69.77999877929688,"4,611.12",602.36,180.38,82.53,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-13,88.5199966430664,89.0,86.87999725341797,86.98999786376953,5641000,75.39002227783203,0.0,-1.7617223424334028,-1.7617042158221574,73.66565292358399,69.01203862065854,76.49963536652008,0.050287086276569,-273.5705345838261,-218.1263936262661,79.66394184306311,72.54182674214196,17240.507333333335,6.638709677419355,235.38825806451607,69.5,"4,647.49",607.22,184.05,83.2,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-14,87.08000183105469,87.44999694824219,86.06999969482422,87.12000274658203,4777900,75.5026626586914,0.0,0.1494480813944765,0.149410197073907,73.761513671875,69.06799227615883,76.36670567214293,0.0502609759024142,-210.9248010038513,-231.16809017687925,79.36967431986889,73.15288503682055,17244.071444444446,6.641935483870967,235.39661290322584,69.38999938964844,"4,649.19",608.03,186.41,84.04,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-15,87.45999908447266,88.52999877929688,87.08000183105469,88.25,4494900,76.48198699951172,0.0,1.2970583308002714,1.2970725883500789,73.87073715209961,69.1313597524268,76.3820765157921,0.0512488203116354,-191.37741730638325,-225.29091763135352,79.15130611607529,73.71336749842666,17247.635555555556,6.645161290322581,235.40496774193548,70.0199966430664,"4,644.66",605.5,186.37,83.6,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-16,88.0,88.23999786376953,87.26000213623047,87.77999877929688,3326100,76.07466888427734,0.0,-0.5325792869157242,-0.5325673811756193,73.97579071044922,69.1902013552391,76.34108883159013,0.0508217556633001,-199.50751594025013,-200.6032447501616,78.69304053399539,74.50845787909056,17251.199666666667,6.648387096774194,235.4133225806452,70.0,"4,604.15",603.23,184.91,83.45,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-17,91.83000183105467,93.62000274658205,90.5500030517578,90.97000122070312,14989900,78.83927154541016,0.0,3.634088044848127,3.6340646652544,74.13665435791016,69.27128597868591,76.67417986009946,0.0615869715069328,-95.77119505575014,-162.21870943412785,78.85952527162671,74.79274599912524,17254.763777777778,6.651612903225806,235.42167741935484,69.87000274658203,"4,618.75",602.62,185.84,83.63,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-21,91.97000122070312,92.70999908447266,89.63999938964844,90.58999633789062,7954600,78.50995635986328,0.0,-0.4177254894067395,-0.4177045006779289,74.28712905883789,69.34827489852906,76.91895006006797,0.0619284226221742,-100.1329838297322,-131.80389827524417,78.9200175928161,75.11378672847297,17269.020222222225,6.664516129032258,235.45509677419355,70.1500015258789,"4,624.49",604.34,185.68,83.84,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-22,90.63999938964844,91.41999816894533,90.62000274658205,91.12999725341795,3848700,78.97796630859375,0.0,0.5960933186410555,0.5961154106178146,74.46770980834961,69.42785912505852,77.1934855598714,0.0603460718020539,-93.93417906737513,-96.61278598428582,79.16880040742241,75.19306711577094,17272.584333333336,6.667741935483871,235.4634516129032,70.20999908447266,"4,578.00",600.38,185.15,82.58,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-23,90.48999786376952,90.48999786376952,88.68000030517578,89.16999816894531,5260900,77.27932739257812,0.0,-2.1507726802868388,-2.150775710504449,74.5994497680664,69.49221542233326,77.20493113756564,0.0647084082616453,-116.43269866227968,-103.499953853129,79.17596388952899,75.2801335225804,17276.148444444447,6.670967741935484,235.4718064516129,69.26000213623047,"4,507.98",589.75,181.55,80.68,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2014-01-24,88.55999755859375,89.37000274658203,86.66000366210938,86.94999694824219,6289300,75.3553466796875,0.0,-2.4896279761013496,-2.4896447443400027,74.69927932739257,69.53988315613289,76.95831987651522,0.069601472687723,-141.91587661202473,-117.42758478055984,79.27156930582753,75.0535115657545,17279.712555555558,6.674193548387096,235.48016129032257,68.11000061035156,"4,490.53",586.83,179.87,80.04,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
