date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2015-12-03,133.52000427246094,134.1199951171875,130.8000030517578,130.92999267578125,6688000,109.0721206665039,0.0,-2.1523091961431207,-2.152302866467881,102.90728607177736,96.11539615631104,108.67352580597782,0.0725575162183728,-56.57105337227372,-46.06313904472993,114.74785580840631,98.48027529510932,18497.31252173913,4.987096774193549,237.75396774193547,71.01000213623047,"5,351.04",749.98,231.63,94.63,21819,0.0635,14254,7565,4161,423,4584,2981,240,2741,1016,1725,0.1223,1268,1274,-0.045,1.36,1.35,0.1739,1070,0.84,0.59,0.2553,0.3467,0.1366,0.0791,0.049,0.37070000000000003,3450,0.15810000000000002,469,2981,0.1366
2015-12-04,131.5500030517578,134.8300018310547,131.35000610351562,134.52999877929688,5387100,112.07112121582033,0.0,2.749565649507235,2.749557385508328,103.21889465332032,96.21746353149416,109.12653852729017,0.0766191883847381,-38.78338765015562,-45.89845393900293,115.40832512295016,98.59988410556548,18498.29943478261,4.980645161290322,237.7504516129032,72.06999969482422,"5,347.95",748.88,230.23,93.78,21819,0.0635,14254,7565,4161,423,4584,2981,240,2741,1016,1725,0.1223,1268,1274,-0.045,1.36,1.35,0.1739,1070,0.84,0.59,0.2553,0.3467,0.1366,0.0791,0.049,0.37070000000000003,3450,0.15810000000000002,469,2981,0.1366
2015-12-07,134.0,134.7899932861328,133.19000244140625,133.92999267578125,5444300,111.57131958007812,0.0,-0.4460017163160468,-0.4459682657940944,103.51387176513671,96.3168685913086,109.45250933432855,0.0769662487566423,-93.1986769140247,-62.85103931215142,115.91167567920203,98.80506626415732,18501.260173913044,4.961290322580645,237.73990322580644,71.5199966430664,"5,327.56",745.07,229.61,92.69,21819,0.0635,14254,7565,4161,423,4584,2981,240,2741,1016,1725,0.1223,1268,1274,-0.045,1.36,1.35,0.1739,1070,0.84,0.59,0.2553,0.3467,0.1366,0.0791,0.049,0.37070000000000003,3450,0.15810000000000002,469,2981,0.1366
2015-12-08,132.7100067138672,134.55999755859375,132.41000366210938,133.83999633789062,4731400,111.4963150024414,0.0,-0.0671965525365858,-0.0672256794299941,103.85114059448242,96.3976470565796,109.7250167567436,0.077034881767146,-121.77328059804304,-84.58511505407454,116.28558468431712,99.25493808179614,18502.24708695652,4.95483870967742,237.7363870967742,70.83999633789062,"5,270.22",736.84,226.19,91.65,21819,0.0635,14254,7565,4161,423,4584,2981,240,2741,1016,1725,0.1223,1268,1274,-0.045,1.36,1.35,0.1739,1070,0.84,0.59,0.2553,0.3467,0.1366,0.0791,0.049,0.37070000000000003,3450,0.15810000000000002,469,2981,0.1366
2015-12-09,133.2100067138672,134.77999877929688,131.50999450683594,131.89999389648438,5055600,109.88021087646484,0.0,-1.4494937944473207,-1.4494686447181435,104.17582595825196,96.47214168548584,109.7457093060398,0.0786250388354056,-168.80019810771867,-127.9240518732622,116.43035957934804,99.70929877636485,18503.234,4.948387096774193,237.73287096774192,70.43000030517578,"5,270.79",739.86,226.73,91.7,21819,0.0635,14254,7565,4161,423,4584,2981,240,2741,1016,1725,0.1223,1268,1274,-0.045,1.36,1.35,0.1739,1070,0.84,0.59,0.2553,0.3467,0.1366,0.0791,0.049,0.37070000000000003,3450,0.15810000000000002,469,2981,0.1366
2015-12-10,131.9600067138672,133.58999633789062,131.8000030517578,132.5399932861328,4185600,110.41334533691406,0.0,0.4852156324970824,0.4851960659673304,104.46837829589845,96.55309921264649,109.83472744348968,0.0782884374689072,-199.0052659179304,-163.19291487456408,116.54380786773018,100.29391948822686,18504.22091304348,4.941935483870967,237.72935483870967,70.47000122070312,"5,191.66",724.53,222.19,89.82,21819,0.0635,14254,7565,4161,423,4584,2981,240,2741,1016,1725,0.1223,1268,1274,-0.045,1.36,1.35,0.1739,1070,0.84,0.59,0.2553,0.3467,0.1366,0.0791,0.049,0.37070000000000003,3450,0.15810000000000002,469,2981,0.1366
2015-12-11,132.5399932861328,132.5399932861328,130.30999755859375,130.44000244140625,5300800,108.66392517089844,0.0,-1.5844205153934254,-1.5844281872607555,104.7003970336914,96.62788188934326,109.67862047381088,0.0803354976959706,-409.6217498890401,-259.1424046382298,116.38147297523098,101.05402430870456,18505.20782608696,4.935483870967742,237.72583870967745,69.12999725341797,"5,219.85",727.52,223.09,89.9,21819,0.0635,14254,7565,4161,423,4584,2981,240,2741,1016,1725,0.1223,1268,1274,-0.045,1.36,1.35,0.1739,1070,0.84,0.59,0.2553,0.3467,0.1366,0.0791,0.049,0.37070000000000003,3450,0.15810000000000002,469,2981,0.1366
2015-12-14,131.08999633789062,132.1300048828125,130.7100067138672,132.00999450683594,5960100,109.97181701660156,0.0,1.2036124164708897,1.2036118184081568,104.94563507080078,96.70361015319824,109.71771334618296,0.0809213689984925,-394.1505059645263,-334.2591739238323,115.57479368441476,102.90525850064382,18508.16856521739,4.916129032258064,237.71529032258064,69.33000183105469,"5,276.24",730.43,223.76,91.84,21819,0.0635,14254,7565,4161,423,4584,2981,240,2741,1016,1725,0.1223,1268,1274,-0.045,1.36,1.35,0.1739,1070,0.84,0.59,0.2553,0.3467,0.1366,0.0791,0.049,0.37070000000000003,3450,0.15810000000000002,469,2981,0.1366
2015-12-15,132.6199951171875,133.49000549316406,131.19000244140625,131.2899932861328,4921800,109.37201690673828,0.0,-0.5454141736713991,-0.5454125667240128,105.15582015991212,96.77654361724854,109.67162048759036,0.0811981821858848,-405.7745308517119,-403.1822622350928,114.40220286712136,104.99275639191184,18509.15547826087,4.909677419354838,237.7117741935484,69.94000244140625,"5,376.50",742.89,226.7,93.27,21819,0.0635,14254,7565,4161,423,4584,2981,240,2741,1016,1725,0.1223,1268,1274,-0.045,1.36,1.35,0.1739,1070,0.84,0.59,0.2553,0.3467,0.1366,0.0791,0.049,0.37070000000000003,3450,0.15810000000000002,469,2981,0.1366
2015-12-16,132.1699981689453,133.27999877929688,130.36000061035156,132.89999389648438,4711700,110.71324157714844,0.0,1.226293466892581,1.2262960017952462,105.40145568847656,96.8615320968628,109.81050329953142,0.0814537740516781,-379.7818231282861,-393.23561998150814,114.07550439374393,105.92559271318969,18510.142391304347,4.903225806451613,237.7082580645161,70.77999877929688,"5,304.02",731.17,223.25,91.95,21819,0.0635,14254,7565,4161,423,4584,2981,240,2741,1016,1725,0.1223,1268,1274,-0.045,1.36,1.35,0.1739,1070,0.84,0.59,0.2553,0.3467,0.1366,0.0791,0.049,0.37070000000000003,3450,0.15810000000000002,469,2981,0.1366
