date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,EBIT,EBIT Margin
2016-08-03,117.27999877929688,117.98999786376952,117.12999725341795,117.9800033569336,1337900,99.7307357788086,0.0,0.8117615889480678,0.8117672354489791,97.51601242065428,94.25424697875977,99.04222330198274,0.0629621032940414,-364.42136811898206,-378.6782521716752,100.48017956474222,98.14187167427146,18963.208782608697,4.9064516129032265,240.5857096774193,71.4000015258789,"5,657.03",749.49,237.93,91.78,6785,0.011200000000000002,3762,3023,1054,989,2043,980,93,887,223,664,-0.18230000000000002,290,294,-0.0767,2.27,2.24,-0.11460000000000001,443,1.53,0.67,0.0984,0.44549999999999995,0.1444,0.09789999999999999,0.0653,0.2514,980,0.1444,980,0.1444
2016-08-04,118.0999984741211,118.4499969482422,117.5,117.87999725341795,1905100,99.64618682861328,0.0,-0.0847652997712389,-0.0847772249297662,97.60229125976562,94.31058795928956,99.12275177220016,0.0622547063831644,-397.7671177100751,-381.9253369249319,100.50540682290486,98.14792111898969,18965.347260869567,4.909677419354839,240.606064516129,71.58000183105469,"5,688.71",755.14,240.75,93.35,6785,0.011200000000000002,3762,3023,1054,989,2043,980,93,887,223,664,-0.18230000000000002,290,294,-0.0767,2.27,2.24,-0.11460000000000001,443,1.53,0.67,0.0984,0.44549999999999995,0.1444,0.09789999999999999,0.0653,0.2514,980,0.1444,980,0.1444
2016-08-05,118.41000366210938,118.76000213623048,117.95999908447266,118.58000183105467,1236000,100.23793029785156,0.0,0.593828125166862,0.5938445695428785,97.69872436523436,94.35895687103272,99.27144224228702,0.0601263384822968,-392.60801370043686,-384.9321665098312,100.57747949960137,98.11811528799628,18967.48573913044,4.912903225806452,240.6264193548387,72.08999633789062,"5,682.31",753.13,240.76,93.41,6785,0.011200000000000002,3762,3023,1054,989,2043,980,93,887,223,664,-0.18230000000000002,290,294,-0.0767,2.27,2.24,-0.11460000000000001,443,1.53,0.67,0.0984,0.44549999999999995,0.1444,0.09789999999999999,0.0653,0.2514,980,0.1444,980,0.1444
2016-08-08,118.41999816894533,118.8499984741211,117.6999969482422,118.1500015258789,1226500,99.87443542480467,0.0,-0.3626246403575006,-0.3626320615028322,97.78687896728516,94.39823505401613,99.35184133328936,0.0539616435932929,-392.87196285573305,-394.4156980887483,100.58097421231948,98.11715658602036,18973.901173913044,4.922580645161291,240.68748387096767,72.25,"5,688.74",752.63,241.31,93.53,6785,0.011200000000000002,3762,3023,1054,989,2043,980,93,887,223,664,-0.18230000000000002,290,294,-0.0767,2.27,2.24,-0.11460000000000001,443,1.53,0.67,0.0984,0.44549999999999995,0.1444,0.09789999999999999,0.0653,0.2514,980,0.1444,980,0.1444
2016-08-09,118.3000030517578,118.52999877929688,118.08999633789062,118.18000030517578,976700,99.8997802734375,0.0,0.025390418035931,0.0253767127944337,97.86579223632812,94.430906791687,99.42489985864243,0.0533409775840453,-392.213654838128,-392.5645437980993,100.59140034640215,98.1143377212248,18976.03965217392,4.925806451612903,240.70783870967745,72.56999969482422,"5,695.83",754.09,240.44,92.91,6785,0.011200000000000002,3762,3023,1054,989,2043,980,93,887,223,664,-0.18230000000000002,290,294,-0.0767,2.27,2.24,-0.11460000000000001,443,1.53,0.67,0.0984,0.44549999999999995,0.1444,0.09789999999999999,0.0653,0.2514,980,0.1444,980,0.1444
2016-08-10,117.9499969482422,118.36000061035156,117.81999969482422,118.2300033569336,953700,99.94204711914062,0.0,0.0423109253923525,0.0423092479157061,97.94622283935549,94.46395606994628,99.49385282670887,0.0418979971149492,-534.4959215963379,-439.860513096733,100.61711580553904,98.10806424817191,18978.178130434782,4.929032258064517,240.72819354838708,72.38999938964844,"5,712.99",760.03,241.34,92.97,6785,0.011200000000000002,3762,3023,1054,989,2043,980,93,887,223,664,-0.18230000000000002,290,294,-0.0767,2.27,2.24,-0.11460000000000001,443,1.53,0.67,0.0984,0.44549999999999995,0.1444,0.09789999999999999,0.0653,0.2514,980,0.1444,980,0.1444
2016-08-11,118.6999969482422,118.9000015258789,118.37000274658205,118.5999984741211,986900,100.25482940673828,0.0,0.3129451972275543,0.3129636590541107,98.02114395141602,94.49653285980224,99.5953163707128,0.0350945036663922,-542.9366313346961,-489.8820692563873,100.59209900034833,98.12124633656576,18980.31660869565,4.932258064516129,240.7485483870968,72.97000122070312,"5,716.73",760.71,241.26,92.82,6785,0.011200000000000002,3762,3023,1054,989,2043,980,93,887,223,664,-0.18230000000000002,290,294,-0.0767,2.27,2.24,-0.11460000000000001,443,1.53,0.67,0.0984,0.44549999999999995,0.1444,0.09789999999999999,0.0653,0.2514,980,0.1444,980,0.1444
2016-08-12,118.58000183105467,118.86000061035156,118.37000274658205,118.51000213623048,815700,100.17874908447266,0.0,-0.0758822420307669,-0.0758869400265593,98.09403900146484,94.5260691833496,99.67310739921412,0.0293811480051408,-545.5600893427937,-540.9975474246093,100.57001609225708,98.13233910183472,18982.45508695652,4.935483870967742,240.76890322580644,72.93000030517578,"5,725.82",762.17,242.6,93.35,6785,0.011200000000000002,3762,3023,1054,989,2043,980,93,887,223,664,-0.18230000000000002,290,294,-0.0767,2.27,2.24,-0.11460000000000001,443,1.53,0.67,0.0984,0.44549999999999995,0.1444,0.09789999999999999,0.0653,0.2514,980,0.1444,980,0.1444
2016-08-15,118.58000183105467,118.75,118.08000183105467,118.3499984741211,1029700,100.0434799194336,0.0,-0.1350127915156429,-0.1350278040754937,98.1684310913086,94.55139636993408,99.72249040191004,0.0293695399532292,-550.2245408553862,-546.2404205109586,100.64754791280804,98.13680114725057,18988.87052173913,4.945161290322581,240.82996774193543,73.12999725341797,"5,688.63",758.09,241.27,92.99,6785,0.011200000000000002,3762,3023,1054,989,2043,980,93,887,223,664,-0.18230000000000002,290,294,-0.0767,2.27,2.24,-0.11460000000000001,443,1.53,0.67,0.0984,0.44549999999999995,0.1444,0.09789999999999999,0.0653,0.2514,980,0.1444,980,0.1444
2016-08-16,117.94000244140624,118.44000244140624,116.9800033569336,116.9800033569336,1102800,98.8853988647461,0.0,-1.1575793281375255,-1.1575777408184162,98.22453506469726,94.57080856323242,99.61087819695486,0.0315097745214815,-590.1583493155911,-561.980993171257,100.64930142692774,98.1291287488535,18991.009,4.948387096774193,240.8503225806452,72.91999816894531,"5,703.62",756.73,240.87,93.28,6785,0.011200000000000002,3762,3023,1054,989,2043,980,93,887,223,664,-0.18230000000000002,290,294,-0.0767,2.27,2.24,-0.11460000000000001,443,1.53,0.67,0.0984,0.44549999999999995,0.1444,0.09789999999999999,0.0653,0.2514,980,0.1444,980,0.1444
