date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2016-02-22,64.66000366210938,66.13999938964844,64.66000366210938,65.62999725341797,10587300,56.09333801269531,0.0,1.5001446587869616,1.5001376387051568,53.93491172790527,56.28606382369995,55.89092013765057,0.0853144160686891,-113.96471577367512,-125.40113180799364,58.09675549845696,54.07711878437996,18632.08671428572,4.972413793103448,237.87475862068968,65.01000213623047,"5,186.78",691.88,203.3,81.03,117408,-0.0134,87446,29962,24248,24248,5714,573,89,5052,1748,3304,-0.1097,3210,3219,-0.006500000000000001,1.03,1.03,-0.1043,1799,0.56,0.49,0.0208,0.2552,0.0487,0.0281,0.015300000000000001,0.34600000000000003,7990,0.0681,2365,5625,0.0479
2016-02-23,65.83999633789062,66.5999984741211,65.27999877929688,66.4800033569336,11432000,56.81982803344727,0.0,1.2951487720370911,1.2951449253876255,54.06055107116699,56.24171802520752,56.0147745237568,0.082663115886376,-106.76004082756832,-115.90286787320927,58.048363789288565,54.38448113563819,18634.12813186813,4.975862068965517,237.90041379310347,64.1500015258789,"5,199.41",696.52,205.18,80.92,117408,-0.0134,87446,29962,24248,24248,5714,573,89,5052,1748,3304,-0.1097,3210,3219,-0.006500000000000001,1.03,1.03,-0.1043,1799,0.56,0.49,0.0208,0.2552,0.0487,0.0281,0.015300000000000001,0.34600000000000003,7990,0.0681,2365,5625,0.0479
2016-02-24,66.19000244140625,67.33000183105469,65.72000122070312,67.12000274658203,10291200,57.36684036254883,0.0,0.9626945808234312,0.9627138061374608,54.18978042602539,56.19800260543824,56.19504996892907,0.0825478371582788,-96.1999578763184,-105.6415714925206,58.10354761184935,54.59596219955202,18636.16954945055,4.979310344827586,237.9260689655173,64.33000183105469,"5,276.02",702.53,207.81,82.1,117408,-0.0134,87446,29962,24248,24248,5714,573,89,5052,1748,3304,-0.1097,3210,3219,-0.006500000000000001,1.03,1.03,-0.1043,1799,0.56,0.49,0.0208,0.2552,0.0487,0.0281,0.015300000000000001,0.34600000000000003,7990,0.0681,2365,5625,0.0479
2016-02-25,67.44999694824219,68.12999725341797,67.33000183105469,68.04000091552734,9581300,58.15315246582031,0.0,1.3706765960944,1.3706735429424466,54.338154830932616,56.16002878189087,56.45613030184791,0.0826097070627281,-72.60980786593382,-91.8566021899402,58.264920885614,54.78415748352664,18638.210967032966,4.982758620689655,237.95172413793105,65.12999725341797,"5,235.70",700.03,207.45,82.5,117408,-0.0134,87446,29962,24248,24248,5714,573,89,5052,1748,3304,-0.1097,3210,3219,-0.006500000000000001,1.03,1.03,-0.1043,1799,0.56,0.49,0.0208,0.2552,0.0487,0.0281,0.015300000000000001,0.34600000000000003,7990,0.0681,2365,5625,0.0479
2016-02-26,68.08000183105469,68.19999694824219,66.30000305175781,66.51000213623047,10984300,56.84546661376953,0.0,-2.2486754243233875,-2.248692971235533,54.442768783569335,56.11189661026001,56.508041810104125,0.0811639646375571,-94.09458625847874,-87.63478400024366,58.18656466210388,55.05823628699281,18640.252384615385,4.9862068965517246,237.97737931034484,65.08000183105469,"5,210.56",697.6,206.23,81.7,117408,-0.0134,87446,29962,24248,24248,5714,573,89,5052,1748,3304,-0.1097,3210,3219,-0.006500000000000001,1.03,1.03,-0.1043,1799,0.56,0.49,0.0208,0.2552,0.0487,0.0281,0.015300000000000001,0.34600000000000003,7990,0.0681,2365,5625,0.0479
2016-02-29,66.62999725341797,66.94999694824219,66.22000122070312,66.33999633789062,9345200,56.700172424316406,0.0,-0.2556093713418139,-0.2555950335324186,54.55729705810547,56.066405277252194,56.53365922533243,0.0796032045017453,-96.5782482644753,-87.76088079629596,58.18550943050534,55.05758062686771,18646.37663736264,4.996551724137931,238.05434482758625,64.97000122070312,"5,286.27",713.06,212.55,84.45,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-01,66.6500015258789,66.88999938964844,66.0,66.45999908447266,10429500,56.8027458190918,0.0,0.180890493226471,0.1809049080270464,54.662594909667966,56.01906970977783,56.56953743783368,0.0769495176286255,-94.82485644344922,-95.1658969888011,58.06152780509488,55.09267599129184,18648.418054945058,5.0,238.08,66.48999786376953,"5,301.59",712.53,213.14,85.14,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-02,66.20999908447266,66.66999816894531,66.0,66.20999908447266,9165600,56.58908081054688,0.0,-0.3761661201382882,-0.3761526057656006,54.78618339538574,55.9684769821167,56.5721432208621,0.0767645581192001,-98.47725070457804,-96.62678513750086,58.00963246946007,55.08901789064736,18650.45947252748,5.003225806451613,238.1094193548388,66.79000091552734,"5,348.77",715.61,213.15,85.69,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-03,65.94999694824219,66.19999694824219,64.87999725341797,66.13999938964844,11846800,56.52923583984375,0.0,-0.1057237513852116,-0.1057535656100783,54.91079704284668,55.91472282409668,56.566422236726325,0.0705634599844155,-99.50024192359908,-97.60078302387544,58.00346396030449,55.084074949607626,18652.50089010989,5.006451612903226,238.13883870967743,67.16999816894531,"5,376.59",715.35,214.08,86.02,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
2016-03-04,66.13999938964844,67.27999877929688,66.08999633789062,66.77999877929688,10010500,57.07623672485352,0.0,0.9676434767984076,0.967642454179818,55.03438537597656,55.87839380264282,56.63439750180995,0.0693967383804453,-90.14979700588572,-96.04242987802094,58.03521619056524,55.08309016014277,18654.542307692307,5.009677419354839,238.16825806451607,67.80000305175781,"5,346.25",713.53,213.05,85.91,129667,-0.0144,96999,32668,26026,26026,6642,565,157,5920,1346,4574,-0.0789,3165,3175,-0.021,1.44,1.44,-0.0649,9566,3.02,0.49,0.0208,0.2519,0.0512,0.0353,0.0738,0.2274,8916,0.0688,2431,6485,0.05
