date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,Selling & Marketing,General & Administrative,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2014-10-22,53.3224983215332,53.48749923706055,52.692501068115234,52.72999954223633,11042000,49.446434020996094,0.0,0.0,-1.1204347742735044,-1.1204167897059136,49.771445236206056,50.19819776535034,48.82040994686957,0.067013754720132,13.836537327515035,12.968930269298076,50.72111778409362,47.08139343111634,17946.649108695652,5.767741935483871,237.1271935483871,69.54000091552734,"4,850.47",628.23,203.91,86.45,3229,0.0861,624,2605,241,247,112,600,1552,0,2.0,1550,477,1073,-0.0998,2476,2492,-0.0326,0.43,0.43,-0.0652,1566,0.63,0.8068000000000001,0.4806,0.3323,0.485,0.3077,2570,0.7959,112,2458,0.7612000000000001
2014-10-23,53.46749877929688,53.97499847412109,53.16999816894531,53.56999969482422,9729600,50.23411560058594,0.0,0.0,1.593021353840629,1.5929997687100572,49.784807739257815,50.1903434753418,49.00890403403175,0.0685139280434092,27.747283109228217,22.724875525722563,50.84750375462456,47.03869924830513,17948.295304347826,5.770967741935484,237.1127741935484,70.30999755859375,"4,878.39",630.07,205.7,87.06,3229,0.0861,624,2605,241,247,112,600,1552,0,2.0,1550,477,1073,-0.0998,2476,2492,-0.0326,0.43,0.43,-0.0652,1566,0.63,0.8068000000000001,0.4806,0.3323,0.485,0.3077,2570,0.7959,112,2458,0.7612000000000001
2014-10-24,53.407501220703125,53.53749847412109,52.96500015258789,53.369998931884766,10896000,50.04656982421875,0.0,0.0,-0.3733447154728564,-0.3733434422502291,49.78930885314941,50.1819128036499,49.14725947272336,0.0684839897760941,24.124958555903483,21.902926330882234,50.901688176618464,47.02061788417255,17949.9415,5.774193548387097,237.0983548387097,70.11000061035156,"4,879.22",631.72,205.71,87.25,3229,0.0861,624,2605,241,247,112,600,1552,0,2.0,1550,477,1073,-0.0998,2476,2492,-0.0326,0.43,0.43,-0.0652,1566,0.63,0.8068000000000001,0.4806,0.3323,0.485,0.3077,2570,0.7959,112,2458,0.7612000000000001
2014-10-27,53.26499938964844,53.682498931884766,53.0525016784668,53.352500915527344,6658800,50.03017425537109,0.0,0.0,-0.0327862407862422,-0.0327606245647649,49.80440643310547,50.17430932998657,49.26498144374306,0.0684223910109012,23.80828881930374,25.226843494811806,50.97835085243675,47.00209539084939,17954.880086956524,5.783870967741936,237.0550967741936,70.16000366210938,"4,929.64",637.31,208.65,88.25,3229,0.0861,624,2605,241,247,112,600,1552,0,2.0,1550,477,1073,-0.0998,2476,2492,-0.0326,0.43,0.43,-0.0652,1566,0.63,0.8068000000000001,0.4806,0.3323,0.485,0.3077,2570,0.7959,112,2458,0.7612000000000001
2014-10-28,53.65250015258789,54.21500015258789,53.51499938964844,54.1775016784668,10497600,50.80378341674805,0.0,0.0,1.5463206949673625,1.5462851626864005,49.81561210632324,50.17317319869995,49.47015504014373,0.0690688308124322,37.033372882728415,28.3222067526452,51.13057090359223,46.92817581576813,17956.526282608695,5.787096774193548,237.04067741935484,71.2300033569336,"4,916.16",635.89,208.12,88.31,3229,0.0861,624,2605,241,247,112,600,1552,0,2.0,1550,477,1073,-0.0998,2476,2492,-0.0326,0.43,0.43,-0.0652,1566,0.63,0.8068000000000001,0.4806,0.3323,0.485,0.3077,2570,0.7959,112,2458,0.7612000000000001
2014-10-29,54.07749938964844,54.59999847412109,53.4375,53.665000915527344,16095200,50.32320022583008,0.0,0.0,-0.9459660321383012,-0.945959451436329,49.8140177154541,50.16526311874389,49.583894398235245,0.0692411657949836,26.29384191599445,29.045167872675524,51.262456816291824,46.905300218009934,17958.17247826087,5.790322580645161,237.02625806451613,71.0199966430664,"4,945.51",639.62,207.47,89.13,3229,0.0861,624,2605,241,247,112,600,1552,0,2.0,1550,477,1073,-0.0998,2476,2492,-0.0326,0.43,0.43,-0.0652,1566,0.63,0.8068000000000001,0.4806,0.3323,0.485,0.3077,2570,0.7959,112,2458,0.7612000000000001
2014-10-30,57.13249969482422,59.81999969482422,57.005001068115234,59.16249847412109,50857600,55.47837066650391,0.0,0.0,10.244102235733155,10.244122825137335,49.90990036010742,50.18183506011963,50.36982456733773,0.1237377931877297,60.6112098985216,41.31280823241482,52.99587090192567,45.80321166338194,17959.818673913043,5.793548387096774,237.01183870967745,71.04000091552734,"4,990.97",645.78,211.09,90.22,3229,0.0861,624,2605,241,247,112,600,1552,0,2.0,1550,477,1073,-0.0998,2476,2492,-0.0326,0.43,0.43,-0.0652,1566,0.63,0.8068000000000001,0.4806,0.3323,0.485,0.3077,2570,0.7959,112,2458,0.7612000000000001
2014-10-31,59.3224983215332,60.625,59.3224983215332,60.35749816894531,24956000,56.59894561767578,0.0,0.0,2.019860089828596,2.019841133958256,50.03030433654785,50.20632944107056,51.200374040716135,0.1248067229224765,65.96022329244111,50.955091702319045,54.57426263292937,44.91498678723665,17961.464869565218,5.796774193548387,236.9974193548387,71.98999786376953,"5,005.63",646.83,211.92,90.47,3229,0.0861,624,2605,241,247,112,600,1552,0,2.0,1550,477,1073,-0.0998,2476,2492,-0.0326,0.43,0.43,-0.0652,1566,0.63,0.8068000000000001,0.4806,0.3323,0.485,0.3077,2570,0.7959,112,2458,0.7612000000000001
2014-11-03,60.244998931884766,60.79999923706055,59.75,60.3849983215332,12716000,56.62475204467773,0.0,0.0,0.0455621147697593,0.0455952433747963,50.14963035583496,50.21881868362427,51.92362444124435,0.1239178507107867,65.2135165998545,63.92831659693906,55.81846453909164,44.36822064157242,17966.40345652174,5.786666666666666,236.93426666666667,72.13999938964844,"5,006.31",642.28,211.92,90.55,3229,0.0861,624,2605,241,247,112,600,1552,0,2.0,1550,477,1073,-0.0998,2476,2492,-0.0326,0.43,0.43,-0.0652,1566,0.63,0.8068000000000001,0.4806,0.3323,0.485,0.3077,2570,0.7959,112,2458,0.7612000000000001
2014-11-04,59.91249847412109,60.75249862670898,59.775001525878906,60.74250030517578,16644400,56.95996475219727,0.0,0.0,0.5920377470890692,0.5919897137121932,50.27598892211914,50.23327543258667,52.59513648270474,0.1234063894622944,68.00637430344621,66.3933713985806,56.95489503791859,44.05042722770641,17968.049652173915,5.779999999999999,236.9099,71.83000183105469,"5,034.88",644.62,211.98,91.16,3229,0.0861,624,2605,241,247,112,600,1552,0,2.0,1550,477,1073,-0.0998,2476,2492,-0.0326,0.43,0.43,-0.0652,1566,0.63,0.8068000000000001,0.4806,0.3323,0.485,0.3077,2570,0.7959,112,2458,0.7612000000000001
