date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Pretax Income,Income Tax,Net Income,Preferred Dividends,Net Income Common,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2018-07-13,226.6300048828125,228.6199951171875,223.92999267578125,226.4100036621093,2541500,201.2055511474609,0.0,-0.3564816276041549,-0.3564923648019524,205.1895428466797,218.0326685333252,200.2664805150509,0.0549833240016633,-177.19895604151984,-160.4602438165017,206.45557488783408,193.4530600608964,20814.269608695653,3.8,251.3878064516129,89.38999938964844,"5,932.98",1014.83,387.19,124.16,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-07-16,227.1999969482422,231.44000244140625,226.7400054931641,231.44000244140625,3271200,205.6756134033203,0.0,2.2216327449928297,2.2216396269222782,205.16914703369144,218.02774909973144,200.9876982334868,0.0583327350463479,-105.29388663755948,-142.87113911159028,206.35160373674165,193.51437679304348,20818.154510869565,3.8,251.43125806451613,89.19000244140625,"5,987.08",1016.02,390.28,124.26,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-07-17,231.47999572753903,233.22999572753903,226.8699951171875,231.0200042724609,9280200,205.30235290527344,0.0,-0.1814717268038612,-0.1814801919734265,205.1141879272461,218.0178381347656,201.5629855230584,0.0580124157729023,-94.7534864320175,-125.74877637036558,206.27510567443824,193.5579906390384,20819.449478260867,3.8,251.44574193548388,89.47000122070312,"5,956.05",1017.11,389.68,125.59,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-07-18,232.33999633789065,233.72000122070312,230.1499938964844,231.2400054931641,6149900,205.4978790283203,0.0,0.0952303768654072,0.0952381306302374,205.02311370849608,218.0013346099853,202.08763799042663,0.0575660294624394,-90.30423943228668,-96.78387083395454,206.7575482221637,193.33504058398864,20820.744445652173,3.8,251.46022580645163,89.72000122070312,"5,951.64",1014.86,388.57,124.6,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-07-19,231.1100006103516,231.9900054931641,228.97999572753903,229.6300048828125,4638500,204.067138671875,0.0,-0.6962465715730781,-0.6962312035581286,204.9069665527344,217.96244773864743,202.35157141461977,0.0553843851713214,-99.95184684828362,-95.00319090419592,206.9963779386601,193.25706291827348,20822.03941304348,3.8,251.47470967741936,89.30000305175781,"5,956.33",1010.64,388.48,124.62,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-07-20,229.009994506836,232.0500030517578,228.8000030517578,231.69000244140625,2683500,205.8977966308593,0.0,0.8970942449986197,0.8970861114135253,204.7436587524414,217.9284447479248,202.82440144345173,0.0558942279913184,-87.60756004481946,-92.62121544179656,207.6497074676849,193.02230028377983,20823.334380434782,3.8,251.4891935483871,89.55999755859375,"5,921.74",1009.77,390.52,125.69,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-07-23,231.8000030517578,234.8600006103516,231.72000122070312,233.759994506836,2788500,207.73736572265625,0.0,0.893431759513752,0.8934379686903249,204.5868585205078,217.9094055938721,203.4794633473457,0.0566357041888954,-79.85829969755626,-89.13923553021976,208.7090752568913,192.650766662054,20827.21928260869,3.8,251.5326451612904,89.56999969482422,"5,901.16",1006.26,391.42,125.81,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-07-24,234.75,237.47999572753903,234.33999633789065,235.8800048828125,2887400,209.62136840820312,0.0,0.9069175332798718,0.9069156523637378,204.4769470214844,217.8744777679444,204.2983840221267,0.0572782885159863,-57.39340182260664,-74.95308718832744,210.0661463092917,192.56806389578645,20828.51425,3.8,251.54712903225808,89.97000122070312,"5,930.44",1013.91,396.92,126.35,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-07-25,235.009994506836,236.8500061035156,233.9499969482422,236.69000244140625,2181500,210.34117126464844,0.0,0.3433939044541478,0.3433823860187868,204.3638973999024,217.84332504272464,205.10408898779625,0.0569508544656863,-54.19794647803557,-63.8165493327328,211.35379729585503,192.62320313139105,20829.809217391303,3.8,251.5616129032258,90.66999816894533,"5,933.45",1012.24,394.03,126.24,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-07-26,237.0,238.33999633789065,236.42999267578125,237.1100006103516,1885500,210.71441650390625,0.0,0.1774465184896323,0.1774475424919153,204.29993377685548,217.82821144104005,205.8521326566109,0.0567726909617124,-80.08856863771011,-63.89330564611742,212.38174548708363,193.0997883263929,20831.10418478261,3.8,251.5760967741936,90.5199966430664,"5,911.53",1008.84,385.98,125.96,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-07-27,237.9600067138672,238.8000030517578,235.9900054931641,237.63999938964844,1998200,211.1854248046875,0.0,0.2235244308264494,0.2235292243388142,204.2560159301757,217.8163331604004,206.56323827635447,0.0567818047257234,-85.70651632956088,-73.33101048176883,213.500817816246,193.244413812172,20832.39915217391,3.8,251.5905806451613,90.06999969482422,"5,885.30",1001.38,379.58,125.68,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-07-30,238.0,239.72999572753903,236.88999938964844,238.9499969482422,2454100,212.3495941162109,0.0,0.5512529717043968,0.5512545728949325,204.2683245849609,217.81115608215333,207.3347523883353,0.0563619790580626,-73.29364761282086,-79.69624419336394,214.4529876511899,193.92563173357573,20836.284054347827,3.8,251.6340322580645,89.80000305175781,"5,933.20",1005.14,380.91,125.57,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-07-31,239.5,239.5,236.5500030517578,237.42999267578125,2503700,210.9987945556641,0.0,-0.6361181384698544,-0.6361206227724847,204.290810546875,217.8106688690185,207.8232913439792,0.0567572624439484,-81.84301026877675,-80.28105807038615,215.13373314672413,194.50414069360784,20837.57902173913,3.8,251.64851612903223,90.08999633789062,"5,877.08",1000.18,384.89,125.87,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-08-01,238.5,239.3999938964844,235.77999877929688,236.0399932861328,2510500,209.7635498046875,0.0,-0.5854354683599405,-0.5854273971459545,204.27619354248048,217.8095952606201,208.08199247207364,0.0553070795209681,-89.66101351175168,-81.59922379778307,215.1354015043059,195.8941425630769,20838.873989130432,3.8,251.663,89.83000183105469,"5,949.84",1007.07,390.53,125.91,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
2018-08-02,233.92999267578125,235.2100067138672,232.7700042724609,233.9900054931641,2579700,207.9418029785156,0.0,-0.8684917180469931,-0.8684763524778871,204.2198281860352,217.78233512878413,208.06330053959925,0.0560896208035856,-144.7129841938091,-105.40566932477915,214.7023741640204,197.50467387064765,20840.16895652174,3.7967741935483854,251.6797419354839,90.02999877929688,"6,014.99",1010.25,391.8,126.57,9636,0.2218,9636,5497,863,6360,3276,3276,711,2565,217,"2,348",0.4396,388,393,-0.0501,6.04,5.98,0.5139,7349,18.95,0.8,0.0667,1.0,0.34,0.2437,0.7626999999999999,0.217,3611,0.3747,335,3276,0.34
