0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"6,265",-3.58%,"3,679","2,586",596.1,132,728.1,"1,858",223.9,-16.2,"1,650",557.3,"1,093",-9.11%,864,871,-9.02%,1.27,1.25,-0.79%,921.2,1.07,0.890,4.71%,41.28%,29.66%,17.44%,14.70%,33.77%,"2,257",36.03%,383.3,"1,874",29.91%
"5,904",-0.92%,"3,590","2,314",578,-44.8,533.2,"1,780",218.3,-14.4,"1,576",451.6,"1,125",38.61%,889,896,-7.17%,1.27,1.25,48.81%,"1,367",1.54,0.890,4.71%,39.19%,30.15%,19.05%,23.15%,28.65%,"2,178",36.90%,383.7,"1,795",30.40%
"6,341",-3.51%,"3,835","2,507",675.1,-49,626.1,"1,880",180.9,-11.3,"1,711",504.6,"1,206",9.90%,914,920,-5.31%,1.31,1.31,15.93%,999.1,1.09,0.890,4.71%,39.53%,29.65%,19.02%,15.76%,29.49%,"2,281",35.98%,389.7,"1,892",29.83%
"6,615",-5.32%,"4,024","2,591",584,-23,561,"2,030",160.9,-9,"1,878",569.2,"1,309",22.54%,930,935,-4.98%,1.41,1.40,28.44%,"1,535",1.65,0.850,4.94%,39.17%,30.69%,19.79%,23.20%,30.30%,"2,427",36.69%,387.7,"2,039",30.83%
"6,498",-9.52%,"4,007","2,490",592.4,48.7,641.1,"1,849",149.2,-12.3,"1,712",510,"1,202",-13.32%,953,958,-3.58%,1.26,1.26,-10.00%,"1,098",1.15,0.850,4.94%,38.33%,28.46%,18.51%,16.89%,29.78%,"2,254",34.69%,392.2,"1,862",28.65%
"5,959",-11.07%,"3,758","2,201",582.8,232.7,815.5,"1,386",147.3,-15.9,"1,254",442.6,811.5,-32.64%,961,966,-3.05%,0.84,0.84,-30.58%,"1,307",1.36,0.850,4.94%,36.94%,23.25%,13.62%,21.93%,35.29%,"1,788",30.00%,386.1,"1,401",23.52%
"6,572",-7.35%,"4,098","2,474",662.5,59.9,722.4,"1,752",153.7,1.9,"1,596",498.6,"1,098",-21.44%,966,972,-2.75%,1.13,1.13,-18.71%,823.8,0.85,0.850,4.94%,37.64%,26.65%,16.70%,12.53%,31.24%,"2,157",32.82%,407.5,"1,750",26.62%
"6,987",-4.59%,"4,306","2,681",575.8,32.9,608.7,"2,073",149.3,2.1,"1,921",852.7,"1,068",-29.81%,979,984,-2.03%,1.09,1.09,-28.29%,"1,174",1.20,0.810,5.19%,38.37%,29.66%,15.29%,16.80%,44.39%,"2,484",35.55%,413.4,"2,070",29.63%
"7,182",1.38%,"4,397","2,784",629.2,-33.9,595.3,"2,189",137.9,-20.4,"2,072",684.4,"1,387",-0.67%,987,993,-1.54%,1.40,1.40,1.45%,897.4,0.91,0.810,5.19%,38.77%,30.48%,19.31%,12.50%,33.04%,"2,623",36.52%,413.2,"2,209",30.76%
"6,700",1.44%,"4,184","2,516",620.4,-40.3,580.1,"1,936",135.5,17.2,"1,783",578.5,"1,205",-5.15%,990,996,-1.47%,1.22,1.21,-3.97%,"1,339",1.35,0.810,5.19%,37.55%,28.89%,17.98%,19.98%,32.44%,"2,329",34.76%,410.4,"1,919",28.64%
"7,093",2.03%,"4,350","2,743",627.8,-85.4,542.4,"2,200",139.4,5.8,"2,055",658.2,"1,397",0.06%,992,999,-1.14%,1.40,1.39,0.72%,969.5,0.98,0.810,5.19%,38.67%,31.02%,19.69%,13.67%,32.03%,"2,603",36.70%,408.6,"2,195",30.94%
"7,323",2.39%,"4,413","2,911",554.3,-60.4,493.9,"2,417",130.5,13.6,"2,273",750.4,"1,522",4.62%,997,"1,004",-1.10%,1.53,1.52,6.29%,"1,363",1.37,0.770,10.00%,39.74%,33.00%,20.79%,18.62%,33.02%,"2,798",38.20%,394.5,"2,403",32.81%
Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
