date,open,high,low,close,volume,adjclose,dividends,splits,Open_Close_Diff,High_Low_Diff,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,sp500,nasdaq,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2022-04-07,85.75,87.11000061035156,84.95999908447266,86.80000305175781,13104300,83.13296508789062,0.0,0.0,1.0500030517578125,2.1500015258789062,2.153703430345244,2.1537172693193662,75.25355438232423,73.80380420684814,79.03286984010988,0.0510072804900548,52.31374543631608,40.26904870576827,82.48453060732315,72.64558947934678,25573.96746153846,3.6,289.1424,127.16000366210938,4500.2099609375,13897.2998046875,9502.74,1463.44,827.28,171.64,15901,0.4963,5380,10521,2323,2576,53,4952,5569,243,462,4864,554,4310,0.3558,2528,2537,-0.0016,1.7,1.7,0.36,3777,1.49,0.69,0.061500000000000006,0.6617000000000001,0.3502,0.2711,0.2375,0.1139,6227,0.39159999999999995,1120,5107,0.3212
2022-04-08,86.63999938964844,87.83999633789062,86.26000213623047,87.68000030517578,11409300,83.97576904296875,0.0,0.0,1.0400009155273438,1.5799942016601562,1.0138216848831538,1.0138023516749195,75.40316375732422,73.86783229827881,79.69192306715773,0.0388804890158987,57.39550799404117,49.79854819826423,83.49091214349863,72.60749483892323,25578.91653846154,3.6,289.23096666666663,126.79000091552734,4488.27978515625,13711.0,9405.18,1446.95,807.21,170.46,15901,0.4963,5380,10521,2323,2576,53,4952,5569,243,462,4864,554,4310,0.3558,2528,2537,-0.0016,1.7,1.7,0.36,3777,1.49,0.69,0.061500000000000006,0.6617000000000001,0.3502,0.2711,0.2375,0.1139,6227,0.39159999999999995,1120,5107,0.3212
2022-04-11,88.31999969482422,89.4800033569336,86.18000030517578,86.62999725341797,14381000,82.97013092041016,0.0,0.0,-1.69000244140625,3.3000030517578125,-1.197539972745454,-1.197533686228025,75.52658493041992,73.92291770935059,80.12901744759138,0.042398486924695,36.48904939977134,48.73276761004304,84.06702697162483,72.87899048442985,25593.76376923077,3.6,289.49666666666667,124.88999938964844,4412.52978515625,13411.9599609375,9441.71,1443.43,804.01,168.96,15901,0.4963,5380,10521,2323,2576,53,4952,5569,243,462,4864,554,4310,0.3558,2528,2537,-0.0016,1.7,1.7,0.36,3777,1.49,0.69,0.061500000000000006,0.6617000000000001,0.3502,0.2711,0.2375,0.1139,6227,0.39159999999999995,1120,5107,0.3212
2022-04-12,86.0,86.55000305175781,85.22000122070312,85.62999725341797,12543000,82.01238250732422,0.0,0.0,-0.3700027465820312,1.3300018310546875,-1.1543345627435642,-1.154329157326106,75.61983932495117,73.97479881286621,80.38013278888909,0.0447235260745461,23.48750804173966,39.124021811850895,84.40797111034495,73.20751579761405,25598.71284615385,3.6,289.5852333333333,124.31999969482422,4397.4501953125,13371.5703125,9571.0,1477.33,819.06,169.64,15901,0.4963,5380,10521,2323,2576,53,4952,5569,243,462,4864,554,4310,0.3558,2528,2537,-0.0016,1.7,1.7,0.36,3777,1.49,0.69,0.061500000000000006,0.6617000000000001,0.3502,0.2711,0.2375,0.1139,6227,0.39159999999999995,1120,5107,0.3212
2022-04-13,85.80000305175781,86.23999786376953,84.83000183105469,86.12999725341797,12743800,82.49126434326172,0.0,0.0,0.3299942016601562,1.4099960327148438,0.5839075277793926,0.5839140643118634,75.71431716918946,74.02744327545166,80.66161699613878,0.0447547978601473,22.60538146523136,27.527312968914288,84.69142759683392,73.6912201082442,25603.661923076925,3.6,289.6738,125.88999938964844,4446.58984375,13643.58984375,9493.21,1460.23,796.83,168.28,15901,0.4963,5380,10521,2323,2576,53,4952,5569,243,462,4864,554,4310,0.3558,2528,2537,-0.0016,1.7,1.7,0.36,3777,1.49,0.69,0.061500000000000006,0.6617000000000001,0.3502,0.2711,0.2375,0.1139,6227,0.39159999999999995,1120,5107,0.3212
2022-04-14,86.12999725341797,87.51000213623047,85.41000366210938,86.91000366210938,22096100,83.23831176757812,0.0,0.0,0.7800064086914062,2.0999984741210938,0.9056152717576538,0.9056079213525026,75.82202728271484,74.08121326446533,81.00517629899736,0.0449737866994902,28.6663818359375,24.91975711430301,85.08462460266938,74.06135165465483,25608.611,3.6,289.76236666666665,124.61000061035156,4392.58984375,13351.080078125,9482.48,1451.97,798.43,168.73,15901,0.4963,5380,10521,2323,2576,53,4952,5569,243,462,4864,554,4310,0.3558,2528,2537,-0.0016,1.7,1.7,0.36,3777,1.49,0.69,0.061500000000000006,0.6617000000000001,0.3502,0.2711,0.2375,0.1139,6227,0.39159999999999995,1120,5107,0.3212
2022-04-18,86.41999816894531,87.44999694824219,85.68000030517578,86.06999969482422,7995100,82.43379974365234,0.0,0.0,-0.3499984741210937,1.7699966430664062,-0.966521610735338,-0.9665165076535588,75.97060577392578,74.12993549346923,81.19565942495136,0.0468169343700861,19.379872028771704,23.55054510998036,85.25279456036208,74.55977791888597,25628.40730769231,3.6,290.1166333333333,124.19000244140624,4391.68994140625,13332.3603515625,9686.66,1493.13,815.0,171.51,15901,0.4963,5380,10521,2323,2576,53,4952,5569,243,462,4864,554,4310,0.3558,2528,2537,-0.0016,1.7,1.7,0.36,3777,1.49,0.69,0.061500000000000006,0.6617000000000001,0.3502,0.2711,0.2375,0.1139,6227,0.39159999999999995,1120,5107,0.3212
2022-04-19,85.97000122070312,86.08999633789062,85.12000274658203,85.79000091552734,8494700,82.1656265258789,0.0,0.0,-0.1800003051757812,0.9699935913085938,-0.3253151856508207,-0.3253194910429746,76.1223648071289,74.17447414398194,81.32498837174171,0.0470740315932569,6.704424365393318,18.25022607670101,85.28157903908557,75.17556207419567,25633.356384615385,3.6,290.2052,125.73999786376952,4462.2099609375,13619.66015625,9640.23,1465.96,807.47,173.11,15901,0.4963,5380,10521,2323,2576,53,4952,5569,243,462,4864,554,4310,0.3558,2528,2537,-0.0016,1.7,1.7,0.36,3777,1.49,0.69,0.061500000000000006,0.6617000000000001,0.3502,0.2711,0.2375,0.1139,6227,0.39159999999999995,1120,5107,0.3212
2022-04-20,85.5199966430664,86.81999969482422,85.4800033569336,86.45999908447266,8719400,82.80732727050781,0.0,0.0,0.94000244140625,1.339996337890625,0.7809746611438184,0.7809844234885732,76.30556381225585,74.22450469970703,81.52263355824387,0.0450560343798976,14.88937870096,13.657891698375176,85.32366903402287,75.81922342203181,25638.30546153846,3.6,290.29376666666667,125.91999816894533,4459.4501953125,13453.0703125,9667.63,1434.09,788.32,170.73,15901,0.4963,5380,10521,2323,2576,53,4952,5569,243,462,4864,554,4310,0.3558,2528,2537,-0.0016,1.7,1.7,0.36,3777,1.49,0.69,0.061500000000000006,0.6617000000000001,0.3502,0.2711,0.2375,0.1139,6227,0.39159999999999995,1120,5107,0.3212
2022-04-21,86.41000366210938,87.2300033569336,85.38999938964844,86.2300033569336,8562400,82.58704376220703,0.0,0.0,-0.1800003051757812,1.840003967285156,-0.2660140295795643,-0.2660193434104951,76.49707778930664,74.27133682250977,81.66455491877228,0.0450144010967865,12.07964149648941,11.224481520947746,85.27588442464065,76.4895475516777,25643.25453846154,3.6,290.3823333333333,124.04000091552734,4393.66015625,13174.650390625,9526.3,1395.94,767.77,166.02,15901,0.4963,5380,10521,2323,2576,53,4952,5569,243,462,4864,554,4310,0.3558,2528,2537,-0.0016,1.7,1.7,0.36,3777,1.49,0.69,0.061500000000000006,0.6617000000000001,0.3502,0.2711,0.2375,0.1139,6227,0.39159999999999995,1120,5107,0.3212
