,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-12-27,178.29286193847656,210.9636688232422,159.91995239257812,203.1699981689453,197.59503173828125,258.29998779296875,59.6611328125,110.32498168945312,366.4513854980469,383.50146484375,197.877197265625,119.46742248535156,160.4571990966797,148.88275146484375,55.22245407104492,256.5556335449219,159.84884643554688,72.68856048583984,336.2891540527344,163.68292236328125,154.13352966308594,150.16513061523438,485.8690490722656,214.2943878173828,46.528507232666016,45.23286437988281,137.0065460205078
2021-12-28,177.26461791992188,211.52581787109375,159.9394073486328,206.1300048828125,197.82479858398438,255.4499969482422,59.764610290527344,110.11136627197266,366.04522705078125,385.52301025390625,198.47152709960938,120.38417053222656,161.10028076171875,149.33460998535156,55.43901062011719,256.2113037109375,160.69920349121094,72.91638946533203,335.1107177734375,162.54986572265625,154.9614715576172,151.20448303222656,489.21514892578125,214.70791625976562,46.56383514404297,45.85702133178711,138.9727020263672
2021-12-29,177.3536376953125,213.24037170410156,159.3751983642578,203.66000366210938,198.50457763671875,254.5399932861328,60.16912841796875,109.54483032226562,364.713623046875,389.9075622558594,198.931640625,121.03770446777344,162.23509216308594,149.2593231201172,55.50492477416992,256.79473876953125,161.3957977294922,73.0492935180664,335.79815673828125,164.85498046875,156.2461395263672,151.57015991210938,491.7831726074219,214.8260955810547,46.24587631225586,46.58816146850586,138.90455627441406
2021-12-30,176.1869354248047,212.18165588378906,159.6962127685547,202.7100067138672,197.30780029296875,255.3300018310547,59.84928512573242,109.06189727783203,364.07147216796875,389.0534362792969,198.52902221679688,121.5459976196289,162.95384216308594,149.18399047851562,55.34485626220703,255.57046508789062,160.69920349121094,73.22966766357422,333.2154235839844,163.59500122070312,154.89483642578125,150.9061279296875,490.6644592285156,214.53070068359375,46.148719787597656,46.35633850097656,139.35227966308594
2021-12-31,175.56405639648438,210.77630615234375,159.1514434814453,201.32000732421875,197.93971252441406,254.1300048828125,59.614097595214844,108.98757934570312,361.2667236328125,393.8651123046875,199.8710174560547,121.31907653808594,161.7811737060547,149.06163024902344,55.749725341796875,256.3930358886719,160.690185546875,72.75501251220703,330.2694396972656,162.7940673828125,155.66566467285156,150.54046630859375,488.43701171875,213.3884735107422,45.892574310302734,46.507911682128906,140.83175659179688
2022-01-03,179.95388793945312,212.3877716064453,163.63609313964844,207.86000061035156,198.18862915039062,255.4600067138672,59.416542053222656,110.76148223876953,373.3356628417969,387.8196716308594,198.23190307617188,123.47931671142578,162.22564697265625,152.21511840820312,55.83446502685547,256.88079833984375,160.7896728515625,72.9733657836914,328.7276916503906,160.84059143066406,155.0185546875,149.88604736328125,488.5732116699219,218.03611755371094,46.3165283203125,47.310394287109375,140.7928009033203
2022-01-04,177.6699981689453,213.4652099609375,168.8892364501953,213.6300048828125,208.7969970703125,248.22999572753906,57.95928192138672,112.77684783935547,384.80975341796875,391.8056945800781,200.3407440185547,125.2765121459961,161.79061889648438,157.98556518554688,56.76660919189453,256.8138732910156,163.04222106933594,73.10625457763672,323.0909423828125,162.5205841064453,155.56097412109375,153.013671875,477.5037536621094,219.05035400390625,47.22625732421875,47.684879302978516,138.21348571777344
2022-01-05,172.94398498535156,210.93557739257812,167.08956909179688,213.07000732421875,210.39590454101562,227.6699981689453,57.0413932800293,113.51055908203125,376.4521484375,386.4909973144531,202.3153839111328,125.45803833007812,162.86871337890625,155.0972442626953,57.237388610839844,255.55137634277344,162.372802734375,74.8814697265625,310.6881408691406,158.47686767578125,156.26516723632812,153.7547149658203,476.3268127441406,216.62806701660156,47.712032318115234,48.14853286743164,140.08230590820312
2022-01-06,170.05697631835938,210.9636688232422,168.6206817626953,211.33999633789062,212.54054260253906,229.14999389648438,57.64700698852539,114.4764404296875,374.8467102050781,385.0864562988281,202.08534240722656,122.84395599365234,162.31077575683594,156.7449951171875,56.93608856201172,257.9424133300781,161.02488708496094,74.8340072631836,308.2331237792969,157.29498291015625,154.95193481445312,156.2183074951172,456.8336486816406,216.38186645507812,47.48238754272461,46.757572174072266,139.6929931640625
2022-01-07,170.22503662109375,212.9499053955078,170.0640869140625,215.5,214.6468963623047,228.30999755859375,57.845733642578125,116.12030792236328,375.3944091796875,373.555419921875,206.81105041503906,122.38104248046875,164.50479125976562,158.29806518554688,56.80427169799805,255.42706298828125,162.78895568847656,76.2294921875,308.3902282714844,153.31964111328125,154.86630249023438,159.9811248779297,446.0852355957031,213.63465881347656,48.48352813720703,48.00586700439453,141.0264434814453
