date,open,high,low,close,volume,adjclose,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2021-03-11,215.0,218.1699981689453,214.3500061035156,215.9499969482422,6431000,215.9499969482422,1.8824259803696064,1.8824259803696064,225.72539916992187,223.4987501525879,218.05071052229653,0.1152318097807636,33.57358559110854,25.44211025687732,259.3923378246721,194.2406608325544,23130.854033333333,6.1,265.4804516129032,118.01000213623048,"8,771.95",1535.81,723.27,156.56,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-12,213.4499969482422,213.8500061035156,209.3000030517578,212.2100067138672,6114600,212.2100067138672,-1.731877882485633,-1.731877882485633,225.5203991699219,223.67680015563965,217.271950014506,0.1159690526463371,26.75671602210788,27.385240569301683,257.82162635110086,192.908372428196,23138.54488888889,6.1,265.5370967741936,118.11000061035156,"8,865.13",1548.13,732.67,156.44,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-15,211.8500061035156,212.94000244140625,209.5,212.8000030517578,5733700,212.8000030517578,0.2780247487038423,0.2780247487038423,225.3283993530273,223.83530014038087,216.6756904194729,0.1160401193323608,28.232075504095143,29.52079237243719,256.0998812346767,191.87311833807723,23161.617455555555,6.1,265.70703225806454,118.62999725341795,"8,768.30",1544.34,738.3,155.21,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-16,214.83999633789065,216.69000244140625,213.47999572753903,214.47999572753903,5311000,214.47999572753903,0.7894702310566437,0.7894702310566437,225.16739929199213,224.03375015258788,216.3829311272151,0.1155001436096646,33.39340202929262,29.46073118516522,252.4573097147359,192.10468979698285,23169.308311111112,6.1,265.76367741935485,118.79000091552734,"8,860.85",1552.29,739.18,155.78,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-17,213.5200042724609,214.8099975585937,210.8600006103516,213.1199951171875,5805100,213.1199951171875,-0.6340920540110484,-0.6340920540110484,225.02359924316409,224.21755012512207,215.9478729925448,0.1121250141226536,40.04828703150552,33.89125485496444,248.4846485953409,192.62335006188567,23176.99916666667,6.1,265.82032258064515,119.20999908447266,"8,687.21",1521.51,715.19,155.56,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-18,210.6999969482422,211.3800048828125,208.3999938964844,209.47999572753903,5580100,209.47999572753903,-1.7079577107004584,-1.7079577107004584,224.7827990722656,224.39380012512208,215.0854893572107,0.1128423137955467,42.643125626598135,38.6949382291321,244.0499435581895,193.30505522110727,23184.690022222225,6.1,265.87696774193546,117.5500030517578,"8,693.62",1536.06,719.46,153.16,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-19,209.8099975585937,212.75,209.07000732421875,212.1999969482422,7088400,212.1999969482422,1.2984539221782887,1.2984539221782887,224.7037991333008,224.57985008239743,214.7007570360149,0.1127694284733663,62.55117137242402,48.41419467684256,238.78829847404813,195.1307002442136,23192.380877777778,6.1,265.9336129032258,117.58999633789062,"8,767.43",1544.59,732.83,152.17,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-22,211.47999572753903,216.97999572753903,211.3699951171875,215.1699981689453,5002500,215.1699981689453,1.3996235925618494,1.3996235925618494,224.6475991821289,224.7985000610352,214.7633225204056,0.1139158081924862,81.99280107709076,62.39569935870431,234.35224485524768,196.9887539850844,23215.453444444447,6.1,266.1035483870968,118.0999984741211,"8,683.76",1533.6,727.92,150.57,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-23,214.759994506836,217.42999267578125,214.3300018310547,215.0,4578000,215.0,-0.0790064462480644,-0.0790064462480644,224.50679931640624,225.00410003662108,214.79487951768485,0.1138899597815492,80.9724041288479,75.1721255261209,230.78359367760424,198.4934052237629,23223.1443,6.1,266.1601935483871,117.0,"8,545.25",1511.38,714.77,150.81,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
2021-03-24,215.1300048828125,215.27999877929688,209.4100036621093,209.52999877929688,4617700,209.52999877929688,-2.544186614280519,-2.544186614280519,224.3323992919921,225.1690000152588,214.09289541923312,0.1158943307591241,42.20735014488198,68.39085178360689,223.8434433774866,202.33955527973995,23230.83515555556,6.1,266.2168387096774,116.36000061035156,"8,633.47",1518.92,713.52,152.74,5817,0.1991,1479.0,4338.0,3206.0,939.0,0.0,4145.0,193.0,0.0,-232.0,425.0,158.0,267.0,,917,942,0.0318,0.28,0.27,,2025.0,2.21,0.7456999999999999,0.0332,0.045899999999999996,0.3481,0.3718,1294.0,0.2225,869.0,425.0,0.0731
