date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2015-09-18,94.6600570678711,94.72679901123048,93.1918716430664,93.46834564208984,5140399,78.78792572021484,0.0,0.0,-2.47687632629674,-2.476842373262944,82.00631881713868,81.55471961975098,79.98378668111953,0.1034680470407774,-186.00368560099523,-174.04677111676835,82.18484959701499,76.2219230165104,18430.40175,5.0,237.63116666666667,68.16000366210938,"5,101.64",720.52,210.88,88.37,9611,-0.0492,6654,2957,1202,0,0,1202,1755,72,-12.0,1695,431,1264,0.08310000000000001,782,-0.001,1.62,1.6,0.08839999999999999,1450,1.85,0.517,0.1489,0.3077,0.1826,0.1315,0.1509,0.25429999999999997,1986,0.2066,219,1767,0.1839
2015-09-21,93.60182189941406,93.9926986694336,92.66751861572266,93.18233489990234,2814648,78.54682159423828,0.0,0.0,-0.3059974371245388,-0.3060165929900882,81.9392822265625,81.5516304397583,79.79219133620202,0.1034675187393452,-189.68486014751724,-177.04692190967864,82.15037969798382,76.16477838307085,18431.4945,5.0,237.65466666666663,68.0999984741211,"5,028.13",711.84,207.55,87.24,9611,-0.0492,6654,2957,1202,0,0,1202,1755,72,-12.0,1695,431,1264,0.08310000000000001,782,-0.001,1.62,1.6,0.08839999999999999,1450,1.85,0.517,0.1489,0.3077,0.1826,0.1315,0.1509,0.25429999999999997,1986,0.2066,219,1767,0.1839
2015-09-22,91.79042053222656,91.90482330322266,90.77984619140624,91.56160736083984,4805587,77.18065643310547,0.0,0.0,-1.739307714067806,-1.7393003732095291,81.82317001342773,81.54452156066894,79.44398668245583,0.1024863187271995,-201.7586375511054,-192.48239443320588,82.08052274186025,76.29571093123545,18431.85875,5.0,237.6625,66.9800033569336,"5,018.37",711.48,207.75,87.42,9611,-0.0492,6654,2957,1202,0,0,1202,1755,72,-12.0,1695,431,1264,0.08310000000000001,782,-0.001,1.62,1.6,0.08839999999999999,1450,1.85,0.517,0.1489,0.3077,0.1826,0.1315,0.1509,0.25429999999999997,1986,0.2066,219,1767,0.1839
2015-09-23,91.73321533203124,91.9524917602539,89.74066925048828,90.1792221069336,5995472,76.01537322998047,0.0,0.0,-1.5097870098089603,-1.5098125061102308,81.6787940979004,81.52988391876221,78.98683822212578,0.1020997387532418,-176.42896020790937,-189.29081930217723,81.9705855650405,76.45868918471535,18432.223,5.0,237.67033333333333,67.0,"5,024.55",707.82,207.81,86.82,9611,-0.0492,6654,2957,1202,0,0,1202,1755,72,-12.0,1695,431,1264,0.08310000000000001,782,-0.001,1.62,1.6,0.08839999999999999,1450,1.85,0.517,0.1489,0.3077,0.1826,0.1315,0.1509,0.25429999999999997,1986,0.2066,219,1767,0.1839
2015-09-24,89.2830581665039,89.5690689086914,87.46212005615234,89.25445556640625,5848100,75.23584747314453,0.0,0.0,-1.025476289239624,-1.0254843510108411,81.5226661682129,81.5150703048706,78.48670612226161,0.1022033672228101,-121.557062008042,-166.58155325568552,82.32158234427989,75.76936156441151,18432.58725,5.0,237.67816666666667,67.01000213623047,"5,071.20",705.22,207.22,87.81,9611,-0.0492,6654,2957,1202,0,0,1202,1755,72,-12.0,1695,431,1264,0.08310000000000001,782,-0.001,1.62,1.6,0.08839999999999999,1450,1.85,0.517,0.1489,0.3077,0.1826,0.1315,0.1509,0.25429999999999997,1986,0.2066,219,1767,0.1839
2015-09-25,90.34129333496094,90.3698959350586,88.70149993896484,89.15911865234375,4089180,75.1554946899414,0.0,0.0,-0.1068147393398999,-0.1068011937152779,81.36925003051758,81.49759815216065,78.04254459795226,0.1021763137179492,-122.35595211817385,-140.11399144470832,82.43981209327724,75.13922004173251,18432.9515,5.0,237.686,67.55999755859375,"4,960.52",684.97,202.65,85.66,9611,-0.0492,6654,2957,1202,0,0,1202,1755,72,-12.0,1695,431,1264,0.08310000000000001,782,-0.001,1.62,1.6,0.08839999999999999,1450,1.85,0.517,0.1489,0.3077,0.1826,0.1315,0.1509,0.25429999999999997,1986,0.2066,219,1767,0.1839
2015-09-28,88.50128936767578,89.0351791381836,87.300048828125,87.3191146850586,4576295,73.60448455810547,0.0,0.0,-2.063730547247611,-2.063734844983356,81.15330444335937,81.47957710266114,77.45080325930601,0.10310385803242,-134.00586157369668,-125.97295856663744,82.68983091205592,74.21173998027805,18434.04425,5.0,237.7095,65.23999786376953,"4,953.12",682.4,201.37,86.0,9611,-0.0492,6654,2957,1202,0,0,1202,1755,72,-12.0,1695,431,1264,0.08310000000000001,782,-0.001,1.62,1.6,0.08839999999999999,1450,1.85,0.517,0.1489,0.3077,0.1826,0.1315,0.1509,0.25429999999999997,1986,0.2066,219,1767,0.1839
2015-09-29,87.681396484375,88.75870513916016,87.43351745605469,88.20574951171875,3620842,74.35186004638672,0.0,0.0,1.015396033111493,1.0153939569962578,80.9390315246582,81.46374866485596,77.03761083091678,0.1039657373642866,-126.693078087628,-127.68496392649944,82.74321127001954,73.6159073823242,18434.4085,5.0,237.71733333333333,65.0199966430664,"5,024.12",696.65,205.99,87.1,9611,-0.0492,6654,2957,1202,0,0,1202,1755,72,-12.0,1695,431,1264,0.08310000000000001,782,-0.001,1.62,1.6,0.08839999999999999,1450,1.85,0.517,0.1489,0.3077,0.1826,0.1315,0.1509,0.25429999999999997,1986,0.2066,219,1767,0.1839
2015-09-30,89.2830581665039,90.41756439208984,89.12097930908203,90.2745590209961,4613321,76.09573364257812,0.0,0.0,2.3454361203545826,2.3454337189458885,80.77515029907227,81.46459789276123,76.91202720580496,0.1073155415773227,-109.62994150370416,-123.44296038834288,82.7644908710229,73.4925663189185,18434.77275,5.0,237.72516666666667,66.7699966430664,"5,023.03",700.84,205.65,87.23,9611,-0.0492,6654,2957,1202,0,0,1202,1755,72,-12.0,1695,431,1264,0.08310000000000001,782,-0.001,1.62,1.6,0.08839999999999999,1450,1.85,0.517,0.1489,0.3077,0.1826,0.1315,0.1509,0.25429999999999997,1986,0.2066,219,1767,0.1839
2015-10-01,90.32222747802734,91.59974670410156,89.23538970947266,90.29362487792967,3476931,76.1117935180664,0.0,0.0,0.0211198560705838,0.02110483034925,80.62214645385743,81.46580478668213,76.80532938077316,0.1071037185391868,-109.47280176056232,-115.26527378396476,82.70649094890646,73.28536467243143,18435.137,5.0,237.733,66.83000183105469,"5,084.10",710.61,208.99,87.32,9611,-0.0492,6654,2957,1202,0,0,1202,1755,72,-12.0,1695,431,1264,0.08310000000000001,782,-0.001,1.62,1.6,0.08839999999999999,1450,1.85,0.517,0.1489,0.3077,0.1826,0.1315,0.1509,0.25429999999999997,1986,0.2066,219,1767,0.1839
