date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2017-06-12,206.92999267578125,208.4199981689453,205.5,207.38999938964844,2388200,166.01788330078125,0.0,0.2223006476339772,0.2222914925696484,156.86357818603517,144.60104469299316,163.17919708448332,0.0326703536914842,-280.62941823466485,-262.4684841212016,168.4372899663364,153.9980722773159,19639.572054945056,4.3,244.19233333333327,81.22000122070312,"6,038.07",846.08,296.18,110.59,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-13,207.5800018310547,209.6699981689453,207.5599975585937,209.1100006103516,1688800,167.39474487304688,0.0,0.8293559119364913,0.8293453361112313,157.16642578125,144.73265281677246,163.74127012295847,0.0323211558704419,-241.20464389383625,-266.63903088617906,169.19323819431852,154.25503603663853,19642.36273626373,4.3,244.195,81.66999816894531,"6,064.40",846.3,294.28,110.79,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-14,209.77999877929688,210.7899932861328,209.52999877929688,210.009994506836,1585300,168.11520385742188,0.0,0.4303925655671392,0.430395222335922,157.4933917236328,144.86853103637696,164.3244612875536,0.0317272811263272,-227.26082362398768,-249.6982952508297,169.96396330072048,154.5469864063108,19645.15341758242,4.3,244.19766666666663,81.45999908447266,"6,064.72",841.48,292.74,110.51,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-15,209.5,211.32000732421875,209.44000244140625,211.2899932861328,1594100,169.13983154296875,0.0,0.6094942206454013,0.6094794890864508,157.8492837524414,145.00525108337402,164.96651065494228,0.0317825564223522,-241.5397160754661,-236.6683945310968,170.61193225255676,155.21585400232607,19647.9440989011,4.3,244.20033333333333,81.0199966430664,"6,038.60",837.27,292.06,110.42,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-16,211.72999572753903,213.4600067138672,211.44000244140625,213.2400054931641,3420600,170.7008514404297,0.0,0.9229079790780804,0.9229167862002896,158.23560150146486,145.151150970459,165.73108942634062,0.0317185632685782,-216.73448350694449,-228.5116744021328,171.41943584037148,155.84926838326135,19650.73478021978,4.3,244.203,81.4800033569336,"6,073.67",844.39,297.2,111.2,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-19,214.0,214.0,212.6999969482422,213.3600006103516,1667600,170.79690551757812,0.0,0.0562723288765498,0.0562704147858195,158.6294110107422,145.30110542297362,166.40653157183894,0.0316294727845639,-268.3129600890812,-242.1957198904973,172.03921619333428,156.6351856621345,19659.106824175826,4.3,244.211,81.98999786376953,"6,041.93",833.78,294.67,110.42,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-20,213.4499969482422,214.57000732421875,213.0500030517578,213.3600006103516,1531200,170.79690551757812,0.0,0.0,0.0,159.02162841796874,145.44815338134765,166.99191476460416,0.0310814179750665,-301.9563170461042,-262.33458688071,172.7043457609565,157.1588103669732,19661.897505494508,4.3,244.21366666666663,80.44999694824219,"6,023.12",835.02,296.86,109.7,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-21,214.0200042724609,214.0200042724609,212.08999633789065,212.8600006103516,1812900,170.3966827392578,0.0,-0.2343457061162679,-0.2343267151752481,159.4102978515625,145.58994010925292,167.44588382789132,0.0308728641278328,-321.5007469227656,-297.2566746859837,173.01105180153462,158.06328138938335,19664.68818681319,4.3,244.21633333333327,80.30999755859375,"6,008.01",832.9,297.57,109.24,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-22,212.72999572753903,213.1199951171875,212.08999633789065,212.22000122070312,1400400,169.8843231201172,0.0,-0.3006668175389082,-0.3006863812745952,159.78299041748048,145.73053955078126,167.7710090668548,0.0299342636459676,-326.38966946119643,-316.61557781002216,172.96098288817876,159.29250069336422,19667.478868131868,4.3,244.219,80.30999755859375,"6,026.42",832.0,299.68,109.1,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
2017-06-23,212.0,213.1699981689453,211.7100067138672,212.8999938964844,1584900,170.42869567871094,0.0,0.3204187502920952,0.3204371943188899,160.17246002197265,145.87664978027342,168.12536728176894,0.0298499889872935,-321.1952802634759,-323.02856554914604,173.04858236569856,160.2743851635983,19670.26954945055,4.3,244.22166666666664,80.56999969482422,"6,041.61",835.55,297.8,109.64,7810,0.019299999999999998,4020,3790,1620,478,-461,1637,2153,54,-41,2140,557,1583,0.2262,598,613,-0.013000000000000001,2.65,2.58,0.2404,1352,2.26,1.175,0.058600000000000006,0.4853,0.2757,0.2027,0.17309999999999998,0.26030000000000003,2574,0.3296,380,2194,0.2809
