date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2015-03-30,104.97000122070312,107.20999908447266,104.97000122070312,106.9000015258789,7172400,74.24810028076172,0.0,2.5124690997811783,2.512469281063656,73.81789459228516,80.03090286254883,73.07402833188661,0.0716237727303751,-375.70281603931255,-389.7653228222037,74.67216600188827,70.49291731110002,18274.978333333333,5.4,236.20612903225808,73.5999984741211,"5,168.86",729.38,218.1,92.29,34558,-0.35119999999999996,25706,8852,944,592,"4,411",5947,2905,0,33.0,2872,305,2567,-0.4311,1867,1876.0,-0.0172,1.38,1.37,-0.41950000000000004,-5283,-2.83,1.07,0.07,0.2561,0.08410000000000001,0.07429999999999999,-0.15289999999999998,0.10619999999999999,7283,0.2107,4411,2872,0.08310000000000001
2015-03-31,105.62000274658205,106.06999969482422,104.87999725341795,104.9800033569336,7254100,72.9145278930664,0.0,-1.796069355977048,-1.796103041899444,73.83015594482421,79.96550483703614,73.05276160671059,0.0734387078221192,-394.67255457785456,-390.6545146199339,74.66090043561796,70.49168058855197,18277.381166666662,5.4,236.21406451612904,73.47000122070312,"5,170.20",724.51,217.08,92.15,34558,-0.35119999999999996,25706,8852,944,592,"4,411",5947,2905,0,33.0,2872,305,2567,-0.4311,1867,1876.0,-0.0172,1.38,1.37,-0.41950000000000004,-5283,-2.83,1.07,0.07,0.2561,0.08410000000000001,0.07429999999999999,-0.15289999999999998,0.10619999999999999,7283,0.2107,4411,2872,0.08310000000000001
2015-04-01,105.7699966430664,106.22000122070312,104.5,104.79000091552734,7347200,72.78258514404297,0.0,-0.1809891744432912,-0.1809553635414573,73.82120803833008,79.89512229919434,73.0167380783549,0.0717242908708681,-396.54940766369015,-388.9749260936192,74.63917869379303,70.48770576665619,18279.784,5.4,236.222,73.16999816894531,"5,202.82",729.96,216.86,92.67,34558,-0.35119999999999996,25706,8852,944,592,"4,411",5947,2905,0,33.0,2872,305,2567,-0.4311,1867,1876.0,-0.0172,1.38,1.37,-0.41950000000000004,-5283,-2.83,1.07,0.07,0.2561,0.08410000000000001,0.07429999999999999,-0.15289999999999998,0.10619999999999999,7283,0.2107,4411,2872,0.08310000000000001
2015-04-02,104.4499969482422,105.68000030517578,104.08000183105467,105.27999877929688,5123900,73.12291717529297,0.0,0.4675998277397841,0.4676009110921919,73.79581893920898,79.8254615020752,73.03089529127999,0.0697043832879893,-416.6976480033574,-402.6398700816341,74.67213964575264,70.49294671899345,18281.122923076924,5.406666666666667,236.24796666666668,73.66000366210938,"5,243.34",732.45,219.19,92.81,34558,-0.35119999999999996,25706,8852,944,592,"4,411",5947,2905,0,33.0,2872,305,2567,-0.4311,1867,1876.0,-0.0172,1.38,1.37,-0.41950000000000004,-5283,-2.83,1.07,0.07,0.2561,0.08410000000000001,0.07429999999999999,-0.15289999999999998,0.10619999999999999,7283,0.2107,4411,2872,0.08310000000000001
2015-04-06,106.02999877929688,107.86000061035156,105.22000122070312,106.91999816894533,6724000,74.26197814941406,0.0,1.5577501981990372,1.5577345900882111,73.78275695800781,79.75659702301026,73.19503967236453,0.0715702611082875,-483.2987847279711,-432.18194679833965,74.89285819224604,70.506294944961,18286.47861538461,5.433333333333334,236.35183333333333,74.58999633789062,"5,219.97",728.49,218.79,92.36,34558,-0.35119999999999996,25706,8852,944,592,"4,411",5947,2905,0,33.0,2872,305,2567,-0.4311,1867,1876.0,-0.0172,1.38,1.37,-0.41950000000000004,-5283,-2.83,1.07,0.07,0.2561,0.08410000000000001,0.07429999999999999,-0.15289999999999998,0.10619999999999999,7283,0.2107,4411,2872,0.08310000000000001
2015-04-07,106.97000122070312,109.08999633789062,106.62000274658205,108.54000091552734,8536000,75.38716125488281,0.0,1.515154109918937,1.5151536944045585,73.82067321777343,79.68758079528808,73.48732255003364,0.0729040698220723,-401.5307622703374,-433.8423983338887,75.3432142639016,70.37474151612768,18287.81753846154,5.44,236.3778,74.12000274658203,"5,235.99",734.96,219.34,92.73,34558,-0.35119999999999996,25706,8852,944,592,"4,411",5947,2905,0,33.0,2872,305,2567,-0.4311,1867,1876.0,-0.0172,1.38,1.37,-0.41950000000000004,-5283,-2.83,1.07,0.07,0.2561,0.08410000000000001,0.07429999999999999,-0.15289999999999998,0.10619999999999999,7283,0.2107,4411,2872,0.08310000000000001
2015-04-08,108.86000061035156,108.91999816894533,106.5199966430664,106.66000366210938,7894800,74.08137512207031,0.0,-1.7320777939564436,-1.732106781946141,73.80454956054687,79.61085327148437,73.56652955963852,0.0749941204989222,-545.9157387987219,-476.9150952656769,75.44122981274639,70.53718128954854,18289.15646153846,5.446666666666667,236.40376666666668,74.33000183105469,"5,245.65",735.73,220.39,92.66,34558,-0.35119999999999996,25706,8852,944,592,"4,411",5947,2905,0,33.0,2872,305,2567,-0.4311,1867,1876.0,-0.0172,1.38,1.37,-0.41950000000000004,-5283,-2.83,1.07,0.07,0.2561,0.08410000000000001,0.07429999999999999,-0.15289999999999998,0.10619999999999999,7283,0.2107,4411,2872,0.08310000000000001
2015-04-09,106.8000030517578,107.23999786376952,106.18000030517578,106.9499969482422,5760500,74.28280639648438,0.0,0.2718856892706345,0.2719054203329074,73.8009829711914,79.53297046661378,73.66203313788463,0.0748022269311586,-542.1992933658029,-496.5485981449542,75.56983396859385,70.64541871695303,18290.495384615384,5.453333333333333,236.42973333333333,74.26000213623047,"5,252.06",737.96,221.45,92.67,34558,-0.35119999999999996,25706,8852,944,592,"4,411",5947,2905,0,33.0,2872,305,2567,-0.4311,1867,1876.0,-0.0172,1.38,1.37,-0.41950000000000004,-5283,-2.83,1.07,0.07,0.2561,0.08410000000000001,0.07429999999999999,-0.15289999999999998,0.10619999999999999,7283,0.2107,4411,2872,0.08310000000000001
2015-04-10,107.47000122070312,107.66000366210938,106.80999755859376,106.91000366210938,5012200,74.2550277709961,0.0,-0.0373943780028085,-0.0373957673866165,73.85945037841798,79.45903690338135,73.74109908896617,0.0734716070349319,-542.7118143044157,-543.6089488229803,75.59148570246673,70.9356230621817,18291.83430769231,5.46,236.4557,74.91999816894531,"5,223.29",734.43,220.78,92.84,34558,-0.35119999999999996,25706,8852,944,592,"4,411",5947,2905,0,33.0,2872,305,2567,-0.4311,1867,1876.0,-0.0172,1.38,1.37,-0.41950000000000004,-5283,-2.83,1.07,0.07,0.2561,0.08410000000000001,0.07429999999999999,-0.15289999999999998,0.10619999999999999,7283,0.2107,4411,2872,0.08310000000000001
2015-04-13,107.3499984741211,107.9000015258789,106.44000244140624,106.5,4307200,73.97027587890625,0.0,-0.3835035525816654,-0.3834782648900581,73.92198959350586,79.38550415039063,73.7716559942915,0.0734865809351405,-547.9655410256049,-544.2922162319413,75.40491059887397,71.46114241015924,18295.85107692308,5.48,236.5336,74.5,"5,236.69",733.08,219.86,92.9,34558,-0.35119999999999996,25706,8852,944,592,"4,411",5947,2905,0,33.0,2872,305,2567,-0.4311,1867,1876.0,-0.0172,1.38,1.37,-0.41950000000000004,-5283,-2.83,1.07,0.07,0.2561,0.08410000000000001,0.07429999999999999,-0.15289999999999998,0.10619999999999999,7283,0.2107,4411,2872,0.08310000000000001
