,Date,WBA,V,CRM,CVX,PG,VZ,WMT,UNH,TRV,MCD,MMM,NKE,MRK,MSFT,JPM,KO,JNJ,GS,HD,HON,IBM,INTC,DIS,CAT,CSCO,AXP,BA,AMGN,AAPL
171,2019-05-24,42.8744010925293,158.03941345214844,154.50999450683594,98.19451141357422,96.0208740234375,48.03539276123047,95.8489761352539,231.46450805664065,133.2248077392578,178.35220336914062,140.10369873046875,78.53610229492188,67.39686584472656,121.0799789428711,96.47053527832033,43.15141677856445,123.89817810058594,173.47747802734375,173.58944702148438,152.8802490234375,102.58486938476562,39.48698043823242,131.1867218017578,110.73897552490234,47.7215576171875,112.58489227294922,348.578857421875,150.58779907226562,43.351654052734375
172,2019-05-28,42.8329963684082,159.0791015625,155.19000244140625,97.8636474609375,94.01387786865234,47.5576286315918,95.6155776977539,226.2581329345703,131.72991943359375,177.36026000976562,137.79238891601562,77.61842346191406,66.64126586914062,121.0032730102539,95.42414093017578,42.70780944824219,122.3098602294922,170.277587890625,171.76022338867188,151.57781982421875,101.17345428466795,38.60102844238281,131.018798828125,109.55860900878906,47.33536911010742,111.32254028320312,348.5592346191406,148.45140075683594,43.17238998413086
173,2019-05-29,42.34437561035156,158.12686157226562,152.88999938964844,96.58979034423828,93.77088165283205,47.11225128173828,95.33551025390624,226.575927734375,130.64031982421875,176.7740478515625,136.1475067138672,75.39120483398438,65.89398956298828,119.83311462402344,95.16034698486328,42.28159713745117,117.1879653930664,169.79002380371094,170.3614044189453,150.761474609375,100.5762939453125,39.18576431274414,129.9814910888672,109.45950317382812,46.67707824707031,110.22977447509766,342.5874938964844,148.7415313720703,42.96649932861328
174,2019-05-30,41.86403274536133,158.15599060058594,155.66000366210938,95.44001007080078,94.79688262939452,46.01906967163086,95.40088653564452,227.60415649414065,131.23463439941406,179.67791748046875,135.455810546875,75.76399993896484,66.15969848632812,120.59085845947266,94.14032745361328,42.83828353881836,117.88397979736328,169.176025390625,171.3387451171875,151.75205993652344,100.48323822021484,39.62873077392578,130.60386657714844,109.78385925292967,47.01938629150391,109.97539520263672,343.638427734375,148.61842346191406,43.189361572265625
175,2019-05-31,40.86194610595703,156.76641845703125,151.41000366210938,94.1744155883789,92.61885833740234,44.01084899902344,94.70069885253906,226.01510620117188,131.0905303955078,179.85023498535156,134.7556610107422,73.9427490234375,65.76945495605469,118.62464141845705,93.1730728149414,42.73390579223633,117.02733612060548,164.7698974609375,170.23585510253906,150.70645141601562,98.48240661621094,39.01742935180664,130.44578552246094,107.95474243164062,45.66770935058594,108.06304168701172,335.52557373046875,146.56109619140625,42.40694808959961
176,2019-06-03,41.33400344848633,154.11367797851562,145.10000610351562,95.9446029663086,93.41988372802734,45.65467834472656,95.18614959716795,221.1171875,132.18917846679688,180.3128662109375,135.00025939941406,74.728759765625,66.64126586914062,114.94159698486328,93.61273193359376,43.47323989868164,117.28611755371094,165.4019317626953,169.9847869873047,152.68765258789062,99.47506713867188,38.50356674194336,130.87060546875,108.7116241455078,45.4482650756836,107.97825622558594,332.8540344238281,151.53733825683594,41.97821044921875
177,2019-06-04,42.65079498291016,157.73814392089844,150.80999755859375,97.02819061279295,94.2118682861328,45.52510833740234,95.74628448486328,225.04298400878903,132.87359619140625,181.08392333984372,138.58534240722656,78.23707580566406,67.3221206665039,118.12588500976562,96.49689483642578,43.49064636230469,119.32951354980467,171.4423065185547,175.0779571533203,154.22854614257812,102.90284729003906,39.68189239501953,133.19223022460938,110.00011444091795,46.72096633911133,110.07901763916016,338.4819641113281,153.62103271484375,43.513938903808594
178,2019-06-05,42.071075439453125,160.71160888671875,158.44000244140625,97.31770324707033,96.05686950683594,46.18102645874024,97.48271942138672,226.92181396484372,134.94483947753906,181.5374298095703,138.21420288085938,79.2914810180664,67.82862091064453,120.686767578125,96.83985137939452,44.16908645629883,119.90953826904295,170.14215087890625,177.60623168945312,155.38418579101562,101.97222137451172,39.46926498413086,134.2987060546875,110.93722534179688,48.05509948730469,111.27542877197266,342.53839111328125,153.46278381347656,44.21640396118164
179,2019-06-06,42.22014617919922,162.1983642578125,159.30999755859375,99.82405090332033,96.6418685913086,46.5940055847168,98.12686920166016,226.0338287353516,134.17938232421875,184.18618774414065,138.94805908203125,79.03267669677734,67.62105560302734,122.5954132080078,97.0508804321289,44.70838165283203,121.96186065673828,171.37908935546875,178.03973388671875,156.16383361816406,102.53836059570312,39.956539154052734,135.55337524414062,111.18049621582033,48.3622932434082,112.50952911376952,344.394775390625,153.3748779296875,44.86557769775391
180,2019-06-07,43.040035247802734,165.23977661132812,161.27000427246094,100.4858169555664,97.89287567138672,46.35107803344727,99.0137710571289,230.6606903076172,135.4018096923828,186.3903961181641,140.54232788085938,79.95287322998047,68.46796417236328,126.0290756225586,95.98690795898438,44.786659240722656,123.6304931640625,171.37908935546875,178.15708923339844,157.99827575683594,103.3836669921875,40.78047943115234,136.3733367919922,112.14461517333984,49.09080123901367,114.09217071533205,347.4002685546875,154.30677795410156,46.05976486206055
