symbol,date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower
HD,2020-02-03,230.3000030517578,233.52999877929688,229.35000610351562,231.5399932861328,5100900,211.69705200195312,0.0,1.5081048183120505,1.5080857305618922,202.66232330322265,196.83943733215332,210.32060993208265,0.049873143715522136,-72.45109238141055,-77.08591620236837,218.06176671042726,199.2385933969946
HD,2020-02-04,234.02999877929688,236.36000061035156,234.02999877929688,235.0,3505100,214.86056518554688,0.0,1.494345173272671,1.4943586382887286,202.94582641601562,196.99167793273926,210.92593729921123,0.05089287422446508,-50.48224151706336,-72.4085655531278,218.43368861869314,200.24177677437328
HD,2020-02-05,237.10000610351562,238.32000732421875,235.86000061035156,238.11000061035156,3868600,217.7040557861328,0.0,1.323404515043225,1.3234120454492793,203.3290802001953,197.16208152770997,211.82968643080076,0.052039870700033644,-59.566022538578004,-60.83311881235064,218.88866783967194,201.57791388640226
HD,2020-02-06,238.0,239.41000366210938,237.47999572753906,238.83999633789062,3930300,218.3715057373047,0.0,0.30657919687029356,0.3065859056973874,203.73494995117187,197.33012817382811,212.7019290050013,0.050672956668073914,-82.62578231067253,-64.22468212210462,219.65067437433538,202.37479407048886
HD,2020-02-07,238.83999633789062,239.52999877929688,236.52000427246094,237.3000030517578,2456100,216.9634552001953,0.0,-0.6447803172606625,-0.6447959097755307,204.10593597412108,197.48813079833985,213.27013249769382,0.0513586206810359,-93.87065947074022,-78.68748810666358,220.24139455480034,202.89129434900823
HD,2020-02-10,236.60000610351562,240.61000061035156,236.17999267578125,240.61000061035156,2568000,219.98977661132812,0.0,1.3948577817219032,1.3948530679235294,204.49456787109375,197.66225135803222,214.1660850461784,0.05258038399499312,-62.10866368048674,-79.53503515396649,221.1905984536391,203.4406271322984
HD,2020-02-11,240.61000061035156,242.4499969482422,240.1999969482422,241.63999938964844,2692400,220.93153381347656,0.0,0.4280781250505461,0.4280913489049576,204.86133422851563,197.85403793334962,215.06814488181817,0.05212588316982812,-47.79166719066363,-67.92366344729686,221.96015787373895,204.3442412351478
HD,2020-02-12,242.1300048828125,242.3000030517578,238.83999633789062,241.58999633789062,3592100,220.88580322265625,0.0,-0.020693201408750195,-0.02069898761437594,205.27242919921875,198.05209655761718,215.84383266059658,0.04982759248179688,-48.10575097149037,-52.66869394754692,222.2762793937751,205.74517446364678
HD,2020-02-13,240.97000122070312,243.60000610351562,240.39999389648438,242.36000061035156,2468100,221.58981323242188,0.0,0.3187235747063033,0.31872125754319747,205.75011444091797,198.24677101135254,216.60996340350664,0.049809283022390474,-40.10301377952565,-45.33347731389322,222.68540528395027,206.9607586564794
HD,2020-02-14,243.44000244140625,245.1999969482422,242.6300048828125,245.02999877929688,2841600,224.03102111816406,0.0,1.1016661834548858,1.101678750539703,206.34239837646484,198.47562019348143,217.59943776546098,0.05032424193276455,-22.29334959997461,-36.83403811699688,223.97371046369395,207.15453508073963
HD,2020-02-18,244.83999633789062,246.11000061035156,243.16000366210938,243.94000244140625,2892600,223.034423828125,0.0,-0.4448419962130412,-0.4448478987708615,206.88805297851562,198.6895780944824,218.3241025738162,0.05049873871804012,-26.649699430349745,-29.682020936616667,224.9783132098144,207.24983773012704
HD,2020-02-19,244.91000366210938,245.5,243.00999450683594,243.63999938964844,2713300,222.7601318359375,0.0,-0.12298231071382615,-0.12298190901637307,207.44833618164063,198.9041819000244,218.91557314209905,0.050719127517826076,-28.15514385301985,-25.699397627781405,225.81192079806237,207.3936181423673
HD,2020-02-20,243.69000244140625,247.1199951171875,242.14999389648438,247.02000427246094,3701800,225.85044860839844,0.0,1.3872947345591413,1.3872844961040576,208.04701965332032,199.1384070587158,219.84022320427232,0.05066384299859412,-10.606090662460117,-21.803644648609904,227.15960352478535,207.33692815246073
HD,2020-02-21,246.5,247.36000061035156,244.0,245.33999633789062,3881100,224.31443786621094,0.0,-0.6801100742906963,-0.6801008152305221,208.5738397216797,199.3867414855957,220.43678515919748,0.05052662836272923,-27.959854376376235,-22.240362963952066,228.01898210319393,207.54636671272402
HD,2020-02-24,238.47999572753906,243.11000061035156,237.6999969482422,239.6999969482422,5350100,219.1577911376953,0.0,-2.298850360248983,-2.2988474471675513,209.0090478515625,199.60749923706055,220.2662526229972,0.05546422428257636,-111.56943434886875,-50.04512646256836,228.0292288164082,208.2401330610332
HD,2020-02-25,246.10000610351562,246.97000122070312,236.47999572753906,237.3800048828125,8061500,217.03663635253906,0.0,-0.9678732144208779,-0.9678664738063336,209.47314727783203,199.82029647827147,219.83563712026944,0.05636227685339163,-163.68142832880434,-101.07023901801644,227.80940965685448,209.02590986218848
HD,2020-02-26,239.10000610351562,241.0399932861328,234.32000732421875,235.27999877929688,6963000,215.11656188964844,0.0,-0.8846600641668756,-0.8846775803195706,209.8981134033203,200.02349334716797,219.20642708951996,0.05710341257409095,-147.26576167022978,-140.8388747826343,227.75769371971168,209.20745368019064
HD,2020-02-27,231.07000732421875,234.82000732421875,224.57000732421875,224.72999572753906,7612800,205.47068786621094,0.0,-4.4840203614818,-4.484022029129342,210.09285888671874,200.19747085571288,217.37499519307875,0.07368888440919072,-83.80572656697231,-131.58430552200215,228.85672844430812,207.2590277812778
HD,2020-02-28,218.6300048828125,221.05999755859375,212.3300018310547,217.83999633789062,11809600,199.1711883544922,0.0,-3.0659010904809603,-3.0658871964358125,210.13509979248047,200.33421188354492,214.94782094793388,0.07946604719203233,-37.56441317474298,-89.54530047064834,230.93957006272618,203.80930994215666
HD,2020-03-02,219.97999572753906,230.0,218.49000549316406,229.94000244140625,7150800,210.2342071533203,0.0,5.554538334065784,5.554527685569544,210.35855438232423,200.52564025878905,214.31933910865206,0.09572085381002979,-5.982856839187255,-42.45099886030085,230.812560506171,204.10454917400477
HD,2020-03-03,230.02999877929688,235.82000732421875,225.57000732421875,227.94000244140625,8432500,208.40562438964844,0.0,-0.8697921104483086,-0.8697836514960255,210.54031768798828,200.70514602661132,213.5308438127849,0.0951280214059259,-11.20290487627879,-18.25005829673634,231.02281543199837,203.56515148694695
HD,2020-03-04,233.00999450683594,241.32000732421875,231.8000030517578,241.0800018310547,6770000,220.41954040527344,0.0,5.764674584938723,5.764679360650571,210.9217642211914,200.94382469177245,214.44933669178337,0.11142767586933557,23.09317401118426,1.9691374319060724,231.31840661070214,203.82545783021584
HD,2020-03-05,236.60000610351562,239.61000061035156,233.14999389648438,234.80999755859375,6473900,214.68687438964844,0.0,-2.6007981685908788,-2.600797554102807,211.17081970214844,201.16114814758302,214.48100838483205,0.1147366315587252,6.728154840778037,6.206141325227836,231.22753490354484,203.61461139772467
HD,2020-03-06,227.57000732421875,230.2899932861328,222.25,228.50999450683594,7399900,208.9267578125,0.0,-2.6830216418641806,-2.6830315516606973,211.34087921142577,201.34742935180665,213.74044164185446,0.11788680259637131,-9.715227339848049,6.702033837371417,231.25545727571458,202.6422142330745
